text_jp;text_fr;text_en
アランドラ;Alundra;Alundra
ジャックの豆;Haricots de Jack;Jack's beans
爆弾;Bombe;Bomb
矢Ｌｖ１;Flèches Niv.1;Arrows Lv.1
矢Ｌｖ２;Flèches Niv.2;Arrows Lv.2
(空き);(vide);(empty)
(空き);(vide);(empty)
ため矢;Flèches chargées;Charged arrows
(空き);(vide);(empty)
(空き);(vide);(empty)
(空き);(vide);(empty)
火炎弾;Boule de feu;Fireball
ため火炎弾;Boule de feu chargée;Charged fireball
(空き);(vide);(empty)
氷弾;Boule de glace;Ice ball
ため氷弾;Boule de glace chargée;Charged ice ball
地系魔法Ｌｖ１;Magie de terre Niv.1;Earth magic Lv.1
地系魔法Ｌｖ２;Magie de terre Niv.2;Earth magic Lv.2
(空き);(vide);(empty)
水系魔法Ｌｖ２;Magie d’eau Niv.2;Water magic Lv.2
火系魔法Ｌｖ１;Magie de feu Niv.1;Fire magic Lv.1
火系魔法Ｌｖ２;Magie de feu Niv.2;Fire magic Lv.2
風系魔法Ｌｖ１;Magie de vent Niv.1;Wind magic Lv.1
火系魔法Ｌｖ１の弾;Projectile de magie de feu Niv.1;Fire magic Lv.1 projectile
風系魔法Ｌｖ２（下）;Magie de vent Niv.2 (bas);Wind magic Lv.2 (lower)
透明君（１×１×２）;Bloc transparent (1×1×2);Transparent block (1×1×2)
トロッコ;Chariot de mine;Mine cart
波動剣Ｌｖ１;Épée d’onde Niv.1;Wave sword Lv.1
波動剣Ｌｖ２;Épée d’onde Niv.2;Wave sword Lv.2
波動剣Ｌｖ３;Épée d’onde Niv.3;Wave sword Lv.3
宝箱;Coffre au trésor;Treasure chest
I01_ハンディソード;I01_Épée de base;I01_Basic sword
I02_スチルエッジ;I02_Lame d’acier;I02_Steel Edge
I03_ディモンバスタ;I03_Destructeur de démons;I03_Demon Buster
I04_聖剣エルナート;I04_Épée sacrée Elnard;I04_Holy Sword Elnard
I05_ハンターボウ;I05_Arc du chasseur;I05_Hunter's Bow
I06_ウィリアムボウ;I06_Arc de William;I06_William's Bow
I07_魔導の杖;I07_Bâton magique;I07_Magic staff
I08_アイテム００８;I08_Objet 008;I08_Item 008
I09_チェインスロー;I09_Lancer de chaîne;I09_Chain Throw
I10_クラッシャー;I10_Le Broyeur;I10_Crusher
I11_アイテム０１１;I11_Objet 011;I11_Item 011
I12_アイテム０１２;I12_Objet 012;I12_Item 012
I13_アイテム０１３;I13_Objet 013;I13_Item 013
