code;advance
0;16
1;16
2;16
3;16
4;16
5;16
6;16
7;16
8;16
9;16
10;16
11;16
12;16
13;16
14;16
15;16
16;6
17;1
18;11
19;5
20;5
21;14
22;14
23;14
24;14
25;14
26;14
27;14
28;14
29;14
30;1
31;1
32;4
33;3
34;5
35;11
36;8
37;11
38;10
39;3
40;5
41;5
42;6
43;7
44;3
45;4
46;2
47;6
48;7
49;7
50;7
51;7
52;7
53;7
54;7
55;7
56;7
57;7
58;4
59;4
60;5
61;6
62;5
63;6
64;10
65;7
66;7
67;7
68;7
69;7
70;7
71;7
72;8
73;4
74;6
75;7
76;7
77;11
78;8
79;7
80;7
81;7
82;8
83;7
84;8
85;8
86;7
87;11
88;7
89;7
90;7
91;4
92;8
93;4
94;4
95;8
96;4
97;7
98;7
99;5
100;7
101;5
102;5
103;6
104;7
105;4
106;3
107;7
108;4
109;11
110;8
111;6
112;7
113;7
114;6
115;5
116;4
117;8
118;6
119;11
120;6
121;6
122;7
123;5
124;3
125;5
126;8
127;1
128;1
129;1
130;5
131;8
132;7
133;11
134;7
135;7
136;6
137;16
138;8
139;5
140;13
141;1
142;1
143;1
144;1
145;4
146;4
147;7
148;7
149;5
150;9
151;15
152;6
153;14
154;6
155;5
156;9
157;1
158;1
159;10
160;16
161;3
162;7
163;7
164;8
165;9
166;3
167;7
168;5
169;11
170;5
171;8
172;7
173;5
174;11
175;8
176;6
177;8
178;6
179;5
180;4
181;8
182;8
183;3
184;4
185;5
186;6
187;8
188;11
189;11
190;12
191;7
192;7
193;7
194;7
195;7
196;7
197;7
198;13
199;9
200;7
201;7
202;7
203;7
204;4
205;4
206;4
207;4
208;7
209;8
210;7
211;7
212;7
213;7
214;7
215;7
216;7
217;8
218;8
219;8
220;8
221;7
222;7
223;8
224;7
225;7
226;7
227;7
228;7
229;7
230;9
231;5
232;5
233;5
234;5
235;5
236;4
237;4
238;4
239;4
240;6
241;7
242;6
243;6
244;6
245;6
246;6
247;8
248;6
249;8
250;8
251;8
252;8
253;6
254;7
255;6
