item_id;field1;sound_sfx_index;field3;field4
0;0;0;0;0
1;0;0;129;1
2;0;0;1;1
3;0;0;1;1
4;0;0;1;1
5;0;0;1;1
6;0;0;1;1
7;0;0;1;1
8;0;0;1;1
9;0;0;1;1
10;0;0;1;1
11;0;0;0;0
12;0;0;0;0
13;0;0;0;0
14;0;0;1;1
15;0;0;0;0
16;0;0;1;1
17;0;0;130;1
18;0;0;2;1
19;0;0;2;1
20;0;0;2;1
21;0;0;0;0
22;0;0;0;0
23;0;0;0;0
24;0;0;0;0
25;0;0;128;1
26;0;0;0;1
27;0;0;0;1
28;0;0;0;1
29;0;0;0;0
30;0;0;0;0
31;0;0;0;1
32;0;0;0;1
33;0;52;0;1
34;0;0;0;0
35;0;0;0;1
36;1;52;0;9
37;1;52;0;1
38;1;52;0;1
39;1;52;0;1
40;0;0;0;1
41;1;52;0;1
42;0;0;0;0
43;0;0;0;1
44;0;0;0;1
45;0;0;0;1
46;0;0;0;1
47;0;0;0;1
48;0;0;0;1
49;0;0;0;1
50;0;0;0;1
51;0;0;3;1
52;0;0;3;1
53;0;0;3;1
54;0;0;3;1
55;0;0;3;1
56;0;0;3;1
57;0;0;0;1
58;0;0;0;0
59;0;0;0;1
60;0;0;0;1
61;0;52;0;9
62;0;0;0;1
63;0;0;0;1
64;0;0;0;1
65;0;0;0;1
66;0;0;0;1
67;0;0;0;1
68;0;0;0;1
69;1;53;0;0
70;1;53;0;0
71;1;53;0;0
72;1;53;0;0
73;0;0;0;1
74;0;0;0;1
75;0;0;0;1
76;0;0;0;1
77;0;0;0;1
78;0;0;0;1
79;0;52;0;0
80;0;0;0;0
81;1;54;0;0
82;1;54;0;0
83;0;0;0;0
84;1;52;0;0
85;1;52;0;0
86;1;52;0;0
87;0;52;0;1
88;0;0;0;1
89;0;0;0;0
90;0;0;0;0
91;0;0;0;0
92;0;0;0;0
93;0;0;0;0
94;0;0;0;0
95;0;0;0;0
96;0;0;0;0
97;0;0;0;0
