item_id;icon;signature
1;31;34187962752519
2;32;34187958034183
3;33;35287989755655
4;34;34187961179655
5;35;34187969044487
6;36;35289063497479
7;37;34187967471879
8;38;34187965898503
9;39;35289071362567
10;40;35290674110215
11;41;35290145103623
12;42;35290674110215
13;43;35287992902151
14;44;35289068216839
15;45;34187967472391
16;46;35288537637639
17;47;35289601941255
18;48;35289069788935
19;49;35290138811911
20;50;35290140384775
21;51;35285035458311
22;52;35285572329223
23;53;35288536064775
24;54;35287999193863
25;55;35288529772039
26;56;35289605087751
27;57;35290141958663
28;58;35289608232711
29;59;35288000765959
30;60;35289600368391
31;61;35288536063495
32;62;35290146677255
33;63;35284498587143
34;64;35290681974279
35;65;35283424845575
36;66;35290148249607
37;67;35287999192839
38;68;35288000766471
39;69;35289600368135
40;70;35290146676487
41;71;35288528199687
43;73;35289074507271
44;74;35289072934407
45;75;35289074508295
46;76;35289072935431
47;77;35289074508551
48;78;35289072935687
49;79;35289074507783
50;80;35289072934919
51;81;34187964325639
52;82;35289609806599
53;83;35287996047879
54;84;35289609805575
55;85;35288532917767
56;86;35289603513863
57;87;35285035458311
58;88;35286377636359
59;89;35290678828807
60;90;34191707218439
61;91;34187959607047
62;92;26494994752519
63;93;26494996324615
64;94;26494592096775
65;95;26494593669639
66;96;26493788365831
67;97;26494590525703
68;98;26494191019015
69;99;16565424103943
70;100;16565423054599
71;101;16565423054343
72;102;25391444072967
73;103;34191707217927
74;104;35289611378695
75;105;35290677255687
76;106;35290143530759
77;107;35288534491655
78;108;26494587380231
79;109;35291086199303
80;110;26492580405767
81;111;26459025973767
82;112;26458623320583
83;113;25391877596167
84;114;8831541191687
85;115;17696084730887
86;116;26491775099911
87;117;26489881960967
88;118;35283961717255
89;119;35290681974279
