item_id;slot;replace_flag;priority;max_count;icon
0;0;0;0;0;65535
1;1;1;0;1;31
2;1;1;1;1;32
3;1;1;2;1;33
4;1;1;3;1;34
5;2;1;0;1;35
6;2;1;1;1;36
7;6;1;1;1;37
8;1;1;4;1;38
9;3;1;0;1;39
10;3;1;1;1;40
11;3;1;2;1;41
12;3;1;3;1;42
13;4;1;0;1;43
14;4;1;1;1;44
15;5;1;0;1;45
16;5;1;1;1;46
17;7;1;0;1;47
18;7;1;1;1;48
19;7;1;2;1;49
20;7;1;3;1;50
21;8;1;0;1;51
22;8;1;1;1;52
23;8;1;2;1;53
24;8;1;3;1;54
25;9;1;0;1;55
26;9;1;1;1;56
27;9;1;2;1;57
28;9;1;3;1;58
29;10;1;0;1;59
30;10;1;0;1;60
31;29;0;0;1;61
32;26;0;0;1;62
33;28;0;0;1;63
34;0;0;0;1;64
35;11;1;0;1;65
36;12;0;0;9;66
37;13;0;0;1;67
38;15;0;0;1;68
39;30;0;0;1;69
40;27;0;2;1;70
41;14;0;0;1;71
42;15;0;2;1;72
43;16;1;0;1;73
44;16;1;1;1;74
45;17;1;0;1;75
46;17;1;1;1;76
47;18;1;0;1;77
48;18;1;1;1;78
49;19;1;0;1;79
50;19;1;1;1;80
51;20;1;0;1;81
52;20;1;1;1;82
53;21;1;0;1;83
54;31;1;1;1;84
55;22;1;0;1;85
56;22;1;1;1;86
57;28;0;0;1;87
58;0;0;1;0;88
59;23;1;0;1;89
60;28;0;0;1;90
61;0;0;0;99;91
62;24;0;0;1;92
63;24;0;1;1;93
64;24;0;2;1;94
65;24;0;3;1;95
66;24;0;3;1;96
67;24;0;4;1;97
68;24;0;5;1;98
69;25;0;1;0;99
70;25;0;2;0;100
71;25;0;10;0;101
72;25;0;30;0;102
73;28;0;0;1;103
74;28;0;0;1;104
75;28;0;0;1;105
76;28;0;0;1;106
77;28;0;0;1;107
78;28;0;0;1;108
79;0;0;0;0;109
80;0;0;0;0;110
81;0;0;0;0;111
82;0;0;0;0;112
83;0;0;0;0;113
84;0;0;0;0;114
85;0;0;0;0;115
86;0;0;0;0;116
87;28;0;0;1;117
88;28;0;0;1;118
89;28;0;0;1;119
90;0;0;0;0;65535
91;0;0;0;0;65535
92;0;0;0;0;65535
93;0;0;0;0;65535
94;0;0;0;0;65535
95;0;0;0;0;65535
96;0;0;0;0;65535
97;0;0;0;0;65535
98;0;0;0;0;65535
99;0;0;0;0;65535
