map_id;sound_index
0;0
1;17
2;7
3;7
4;7
5;7
6;7
7;7
8;7
9;7
10;7
11;7
12;7
13;7
14;7
15;7
16;7
17;13
18;22
19;22
20;7
21;6
22;6
23;6
24;6
25;6
26;22
27;22
28;22
29;22
30;22
31;22
32;22
33;22
34;22
35;0
36;0
37;0
38;0
39;0
40;0
41;30
42;30
43;30
44;30
45;30
46;30
47;30
48;30
49;30
50;30
51;30
52;30
53;30
54;30
55;29
56;29
57;29
58;29
59;29
60;29
61;21
62;21
63;21
64;21
65;21
66;21
67;21
68;21
69;31
70;31
71;31
72;31
73;31
74;31
75;31
76;31
77;9
78;9
79;9
80;9
81;9
82;9
83;9
84;9
85;9
86;21
87;21
88;21
89;21
90;21
91;21
92;21
93;21
94;21
95;21
96;30
97;30
98;30
99;30
100;30
101;30
102;30
103;30
104;30
105;30
106;30
107;30
108;30
109;32
110;32
111;32
112;32
113;32
114;32
115;18
116;18
117;18
118;0
119;21
120;21
121;21
122;21
123;27
124;27
125;27
126;27
127;27
128;27
129;21
130;21
131;21
132;21
133;21
134;16
135;12
136;12
137;12
138;12
139;31
140;31
141;21
142;21
143;16
144;18
145;21
146;21
147;17
148;17
149;17
150;17
151;17
152;17
153;19
154;17
155;17
156;17
157;21
158;35
159;28
160;28
161;35
162;16
163;0
164;16
165;16
166;16
167;16
168;16
169;16
170;16
171;16
172;16
173;16
174;16
175;16
176;16
177;16
178;16
179;16
180;16
181;16
182;16
183;-1
184;-1
185;-1
186;16
187;16
188;16
189;16
190;16
191;16
192;16
193;16
194;16
195;16
196;16
197;16
198;16
199;16
200;16
201;16
202;16
203;16
204;16
205;16
206;16
207;16
208;16
209;16
210;16
211;16
212;16
213;16
214;16
215;16
216;16
217;16
218;16
219;16
220;16
221;16
222;16
223;16
224;16
225;16
226;16
227;16
228;16
229;16
230;16
231;16
232;16
233;16
234;16
235;16
236;16
237;16
238;16
239;16
240;16
241;16
242;16
243;16
244;16
245;16
246;16
247;16
248;10
249;10
250;10
251;10
252;16
253;16
254;16
255;16
256;16
257;16
258;16
259;16
260;16
261;16
262;16
263;16
264;16
265;16
266;16
267;16
268;16
269;16
270;16
271;-1
272;-1
273;-1
274;-1
275;16
276;16
277;16
278;16
279;16
280;16
281;16
282;16
283;16
284;16
285;16
286;16
287;16
288;16
289;-1
290;-1
291;-1
292;-1
293;8
294;16
295;16
296;16
297;16
298;16
299;16
300;16
301;16
302;16
303;16
304;31
305;6
306;6
307;6
308;6
309;6
310;6
311;-1
312;21
313;21
314;21
315;21
316;21
317;21
318;21
319;21
320;21
321;4
322;5
323;4
324;20
325;20
326;15
327;33
328;21
329;21
330;16
331;7
332;0
333;0
334;0
335;0
336;0
337;23
338;23
339;23
340;23
341;23
342;23
343;23
344;23
345;23
346;23
347;23
348;23
349;23
350;23
351;9
352;9
353;9
354;9
355;23
356;23
357;-1
358;-1
359;-1
360;-1
361;-1
362;30
363;30
364;10
365;10
366;0
367;30
368;0
369;30
370;16
371;16
372;16
373;16
374;16
375;16
376;16
377;16
378;9
379;9
380;21
381;-1
382;21
383;21
384;21
385;21
386;21
387;10
388;21
389;25
390;25
391;3
392;3
393;-1
394;29
395;18
396;31
397;0
398;16
399;21
400;22
401;21
402;21
403;22
404;22
405;22
406;22
407;7
408;9
409;9
410;9
411;9
412;30
413;30
414;30
415;30
416;-1
417;30
418;30
419;30
420;30
421;34
422;34
423;34
424;34
425;34
426;34
427;0
428;0
429;18
430;18
431;7
432;18
433;9
434;9
435;30
436;30
437;30
438;30
439;13
440;35
441;35
442;35
443;11
444;11
445;11
446;11
447;11
448;11
449;30
450;22
451;13
452;21
453;6
454;31
455;22
456;21
457;9
458;9
459;21
460;34
461;11
462;17
463;18
464;23
465;30
466;27
467;30
468;35
469;30
470;32
471;14
472;29
473;29
474;29
475;0
476;45
477;39
478;30
479;7
480;23
481;-1
482;12
