box;cell;x0;y0;u0;v0;w;h;clut
g_UiBoxesInventoryWeaponBackground;0;8;16;176;72;8;8;3
g_UiBoxesInventoryWeaponBackground;1;16;16;184;72;8;8;3
g_UiBoxesInventoryWeaponBackground;2;24;16;192;72;8;8;3
g_UiBoxesInventoryWeaponBackground;3;32;16;200;72;8;8;3
g_UiBoxesInventoryWeaponBackground;4;40;16;208;72;8;8;3
g_UiBoxesInventoryWeaponBackground;5;48;16;216;72;8;8;3
g_UiBoxesInventoryWeaponBackground;6;56;16;224;72;8;8;3
g_UiBoxesInventoryWeaponBackground;7;64;16;232;72;8;8;3
g_UiBoxesInventoryWeaponBackground;8;72;16;240;72;8;8;3
g_UiBoxesInventoryWeaponBackground;9;80;16;184;72;8;8;3
g_UiBoxesInventoryWeaponBackground;10;88;16;192;72;8;8;3
g_UiBoxesInventoryWeaponBackground;11;96;16;200;72;8;8;3
g_UiBoxesInventoryWeaponBackground;12;104;16;208;72;8;8;3
g_UiBoxesInventoryWeaponBackground;13;112;16;216;72;8;8;3
g_UiBoxesInventoryWeaponBackground;14;120;16;224;72;8;8;3
g_UiBoxesInventoryWeaponBackground;15;128;16;232;72;8;8;3
g_UiBoxesInventoryWeaponBackground;16;136;16;240;72;8;8;3
g_UiBoxesInventoryWeaponBackground;17;144;16;184;72;8;8;3
g_UiBoxesInventoryWeaponBackground;18;152;16;192;72;8;8;3
g_UiBoxesInventoryWeaponBackground;19;160;16;160;72;8;8;3
g_UiBoxesInventoryWeaponBackground;20;168;16;168;72;8;8;3
g_UiBoxesInventoryWeaponBackground;21;8;24;176;80;8;8;3
g_UiBoxesInventoryWeaponBackground;22;16;24;184;80;8;8;3
g_UiBoxesInventoryWeaponBackground;23;24;24;192;80;8;8;3
g_UiBoxesInventoryWeaponBackground;24;32;24;200;80;8;8;3
g_UiBoxesInventoryWeaponBackground;25;40;24;208;80;8;8;3
g_UiBoxesInventoryWeaponBackground;26;48;24;216;80;8;8;3
g_UiBoxesInventoryWeaponBackground;27;56;24;224;80;8;8;3
g_UiBoxesInventoryWeaponBackground;28;64;24;232;80;8;8;3
g_UiBoxesInventoryWeaponBackground;29;72;24;240;80;8;8;3
g_UiBoxesInventoryWeaponBackground;30;80;24;184;80;8;8;3
g_UiBoxesInventoryWeaponBackground;31;88;24;192;80;8;8;3
g_UiBoxesInventoryWeaponBackground;32;96;24;200;80;8;8;3
g_UiBoxesInventoryWeaponBackground;33;104;24;208;80;8;8;3
g_UiBoxesInventoryWeaponBackground;34;112;24;216;80;8;8;3
g_UiBoxesInventoryWeaponBackground;35;120;24;224;80;8;8;3
g_UiBoxesInventoryWeaponBackground;36;128;24;232;80;8;8;3
g_UiBoxesInventoryWeaponBackground;37;136;24;240;80;8;8;3
g_UiBoxesInventoryWeaponBackground;38;144;24;184;80;8;8;3
g_UiBoxesInventoryWeaponBackground;39;152;24;192;80;8;8;3
g_UiBoxesInventoryWeaponBackground;40;160;24;200;80;8;8;3
g_UiBoxesInventoryWeaponBackground;41;168;24;168;80;8;8;3
g_UiBoxesInventoryWeaponBackground;42;8;32;176;104;8;8;3
g_UiBoxesInventoryWeaponBackground;43;16;32;184;88;8;8;3
g_UiBoxesInventoryWeaponBackground;44;24;32;192;88;8;8;3
g_UiBoxesInventoryWeaponBackground;45;32;32;200;88;8;8;3
g_UiBoxesInventoryWeaponBackground;46;40;32;208;88;8;8;3
g_UiBoxesInventoryWeaponBackground;47;48;32;216;88;8;8;3
g_UiBoxesInventoryWeaponBackground;48;56;32;224;88;8;8;3
g_UiBoxesInventoryWeaponBackground;49;64;32;232;88;8;8;3
g_UiBoxesInventoryWeaponBackground;50;72;32;240;88;8;8;3
