box;x;y;width;height
g_UiBoxesInventoryWeaponBackground;8;16;21;6
g_UiBoxesInventoryItemBackground;8;64;21;13
g_UiBoxesInventoryWeaponNameBackground;176;16;18;4
g_UiBoxesInventoryItemNameBackground;176;64;18;4
UIBoxConfiguration_800b9a10;240;112;0;0
g_UiBoxesInventoryMoneyFalconKeyIcons;176;96;3;9
g_uiBoxesInventoryDescriptionBackground;16;168;36;7
UIBoxConfiguration_800af664;8;16;15;14
UIBoxConfiguration_800b06dc;8;128;21;5
UIBoxConfiguration_800b122c;176;16;18;4
UIBoxConfiguration_800b1d7c;176;64;18;4
UIBoxConfiguration_800b287c;136;16;5;14
