text_jp;text_fr;text_en
０１　アランドラ;Alundra;Alundra
０２　アンゼス;Anzes;Anzes
０３　嵐;Tempête;Storm
０４　ボス１;Boss 1;Boss 1
０５　ボス２;Boss 2;Boss 2
０６　ちんこん？;Requiem ?;Requiem?
０７　フィールド;Terrain;Field
０８　怒り;Colère;Anger
０９　遺跡;Ruines;Ruins
１０　悲しみ;Tristesse;Sorrow
１１　火山;Volcan;Volcano
１２　教会;Église;Church
１３　巨神;Géant divin;Giant deity
１４　最終ボス;Boss final;Final boss
１５　ロエイン;Roein;Roein
１６　村１;Village 1;Village 1
１７　村２;Village 2;Village 2
１８　村３;Village 3;Village 3
１９　ムルータ;Muruta;Muruta
２０　ニルード;Nirude;Nirude
２１　おふくろ;Maman;Mom
２２　砂漠;Désert;Desert
２３　最後;Fin;End
２４　セクタス;Sektas;Sektas
２５　戦場;Champ de bataille;Battlefield
２６　神殿;Temple;Temple
２７　自然;Nature;Nature
２８　水中;Sous l’eau;Underwater
２９　大樹;Grand arbre;Great tree
３０　夢;Rêve;Dream
３１　迷い;Égarement;Lost
３２　メディアム;Médium;Medium
３３　メルザス;Melzas;Melzas
３４　ミミング;Miming;Miming
３５　妖精;Fée;Fairy
３６　クリア;Terminé;Clear
３７　イベントクリア;Événement terminé;Event clear
３８　イベント;Événement;Event
３９　ゲームオーバ;Game Over;Game Over
４０　アイテムゲット;Objet obtenu;Item obtained
４１　ロード;Chargement;Load
４２　勝利;Victoire;Victory
４３　死亡;Mort;Death
４４　ワープ;Warp / Téléportation;Warp
４５　賢者;Sage;Sage
４６　;; 
４７　;; 
４８　;; 
４９　;; 
