text_jp;text_fr
アランドラ;Alundra
ジャックの豆;Haricots de Jack
爆弾;Bombe
矢Ｌｖ１;Flèches Niv.1
矢Ｌｖ２;Flèches Niv.2
(空き);(vide)
(空き);(vide)
ため矢;Flèches chargées
(空き);(vide)
(空き);(vide)
(空き);(vide)
火炎弾;Boule de feu
ため火炎弾;Boule de feu chargée
(空き);(vide)
氷弾;Boule de glace
ため氷弾;Boule de glace chargée
地系魔法Ｌｖ１;Magie de terre Niv.1
地系魔法Ｌｖ２;Magie de terre Niv.2
(空き);(vide)
水系魔法Ｌｖ２;Magie d’eau Niv.2
火系魔法Ｌｖ１;Magie de feu Niv.1
火系魔法Ｌｖ２;Magie de feu Niv.2
風系魔法Ｌｖ１;Magie de vent Niv.1
火系魔法Ｌｖ１の弾;Projectile de magie de feu Niv.1
風系魔法Ｌｖ２（下）;Magie de vent Niv.2 (bas)
透明君（１×１×２）;Bloc transparent (1×1×2)
トロッコ;Chariot de mine
波動剣Ｌｖ１;Épée d’onde Niv.1
波動剣Ｌｖ２;Épée d’onde Niv.2
波動剣Ｌｖ３;Épée d’onde Niv.3
宝箱;Coffre au trésor
I01_ハンディソード;I01_Épée de base
I02_スチルエッジ;I02_Lame d’acier
I03_ディモンバスタ;I03_Destructeur de démons
I04_聖剣エルナート;I04_Épée sacrée Elnard
I05_ハンターボウ;I05_Arc du chasseur
I06_ウィリアムボウ;I06_Arc de William
I07_魔導の杖;I07_Bâton magique
I08_アイテム００８;I08_Objet 008
I09_チェインスロー;I09_Lancer de chaîne
I10_クラッシャー;I10_Le Broyeur
I11_アイテム０１１;I11_Objet 011
I12_アイテム０１２;I12_Objet 012
I13_アイテム０１３;I13_Objet 013
I14_流氷の杖;I14_Bâton des glaces flottantes
I15_アイテム０１５;I15_Objet 015
I16_火球の杖;I16_Bâton de feu
I17_布のジャケット;I17_Veste en tissu
I18_皮のジャケット;I18_Veste en cuir
I19_鋼のジャケット;I19_Veste en acier
I20_銀のジャケット;I20_Veste en argent
I21_アイテム０２１;I21_Objet 021
I22_アイテム０２２;I22_Objet 022
I23_アイテム０２３;I23_Objet 023
I24_アイテム０２４;I24_Objet 024
I25_ノーマルブーツ;I25_Bottes normales
I26_ロングブーツ;I26_Bottes longues
I27_マーマンブーツ;I27_Bottes de triton
