index;pointer_address;string_address;length_bytes;text_jp;text_fr
0;8009870c;0x80022450;10;"アランドラ";0;Alundra
1;80098710;0x80022440;12;"ジャックの豆";1;Haricots de Jack
2;80098714;0x80022438;4;"爆弾";2;Bombe
3;80098718;0x8002242c;8;"矢Ｌｖ１";3;Flèches Niv.1
4;8009871c;0x80022420;8;"矢Ｌｖ２";4;Flèches Niv.2
5;80098720;0x80022418;6;"(空き)";5;(vide)
6;80098724;0x80022418;6;"(空き)";6;(vide)
7;80098728;0x80022410;6;"ため矢";7;Flèches chargées
8;8009872c;0x80022418;6;"(空き)";8;(vide)
9;80098730;0x80022418;6;"(空き)";9;(vide)
10;80098734;0x80022418;6;"(空き)";10;(vide)
11;80098738;0x80022408;6;"火炎弾";11;Boule de feu
12;8009873c;0x800223fc;10;"ため火炎弾";12;Boule de feu chargée
13;80098740;0x80022418;6;"(空き)";13;(vide)
14;80098744;0x800223f4;4;"氷弾";14;Boule de glace
15;80098748;0x800223e8;8;"ため氷弾";15;Boule de glace chargée
16;8009874c;0x800223d8;14;"地系魔法Ｌｖ１";16;Magie de terre Niv.1
17;80098750;0x800223c8;14;"地系魔法Ｌｖ２";17;Magie de terre Niv.2
18;80098754;0x80022418;6;"(空き)";18;(vide)
19;80098758;0x800223b8;14;"水系魔法Ｌｖ２";19;Magie d’eau Niv.2
20;8009875c;0x800223a8;14;"火系魔法Ｌｖ１";20;Magie de feu Niv.1
21;80098760;0x80022398;14;"火系魔法Ｌｖ２";21;Magie de feu Niv.2
22;80098764;0x80022388;14;"風系魔法Ｌｖ１";22;Magie de vent Niv.1
23;80098768;0x80022374;18;"火系魔法Ｌｖ１の弾";23;Projectile de magie de feu Niv.1
24;8009876c;0x8002235c;20;"風系魔法Ｌｖ２（下）";24;Magie de vent Niv.2 (bas)
25;80098770;0x80022344;20;"透明君（１×１×２）";25;Bloc transparent (1×1×2)
26;80098774;0x80022338;8;"トロッコ";26;Chariot de mine
27;80098778;0x80022328;12;"波動剣Ｌｖ１";27;Épée d’onde Niv.1
28;8009877c;0x80022318;12;"波動剣Ｌｖ２";28;Épée d’onde Niv.2
29;80098780;0x80022308;12;"波動剣Ｌｖ３";29;Épée d’onde Niv.3
30;80098784;0x80022300;4;"宝箱";30;Coffre au trésor
31;80098788;0x800222ec;18;"I01_ハンディソード";31;I01_Épée de base
32;8009878c;0x800222d8;16;"I02_スチルエッジ";32;I02_Lame d’acier
33;80098790;0x800222c4;18;"I03_ディモンバスタ";33;I03_Destructeur de démons
34;80098794;0x800222b0;18;"I04_聖剣エルナート";34;I04_Épée sacrée Elnard
35;80098798;0x8002229c;16;"I05_ハンターボウ";35;I05_Arc du chasseur
36;8009879c;0x80022288;18;"I06_ウィリアムボウ";36;I06_Arc de William
37;800987a0;0x80022278;12;"I07_魔導の杖";37;I07_Bâton magique
38;800987a4;0x80022264;18;"I08_アイテム００８";38;I08_Objet 008
39;800987a8;0x80022250;18;"I09_チェインスロー";39;I09_Lancer de chaîne
40;800987ac;0x8002223c;16;"I10_クラッシャー";40;I10_Le Broyeur
41;800987b0;0x80022228;18;"I11_アイテム０１１";41;I11_Objet 011
42;800987b4;0x80022214;18;"I12_アイテム０１２";42;I12_Objet 012
43;800987b8;0x80022200;18;"I13_アイテム０１３";43;I13_Objet 013
44;800987bc;0x800221f0;12;"I14_流氷の杖";44;I14_Bâton des glaces flottantes
45;800987c0;0x800221dc;18;"I15_アイテム０１５";45;I15_Objet 015
46;800987c4;0x800221cc;12;"I16_火球の杖";46;I16_Bâton de feu
47;800987c8;0x800221b8;18;"I17_布のジャケット";47;I17_Veste en tissu
48;800987cc;0x800221a4;18;"I18_皮のジャケット";48;I18_Veste en cuir
49;800987d0;0x80022190;18;"I19_鋼のジャケット";49;I19_Veste en acier
50;800987d4;0x8002217c;18;"I20_銀のジャケット";50;I20_Veste en argent
51;800987d8;0x80022168;18;"I21_アイテム０２１";51;I21_Objet 021
52;800987dc;0x80022154;18;"I22_アイテム０２２";52;I22_Objet 022
53;800987e0;0x80022140;18;"I23_アイテム０２３";53;I23_Objet 023
54;800987e4;0x8002212c;18;"I24_アイテム０２４";54;I24_Objet 024
55;800987e8;0x80022118;18;"I25_ノーマルブーツ";55;I25_Bottes normales
56;800987ec;0x80022104;16;"I26_ロングブーツ";56;I26_Bottes longues
57;800987f0;0x800220f0;18;"I27_マーマンブーツ";57;I27_Bottes de triton
58;800987f4;0x800220dc;18;"I28_マジックブーツ";58;I28_Bottes magiques
59;800987f8;0x800220c8;18;"I29_アイテム０２９";59;I29_Objet 029
60;800987fc;0x800220b4;18;"I30_アイテム０３０";60;I30_Objet 030
61;80098800;0x800220a0;16;"I31_ジャックの豆";61;I31_Haricots de Jack
62;80098804;0x8002208c;16;"I32_サンドケープ";62;I32_Cape de sable
63;80098808;0x8002207c;12;"I33_壊れた鎧";63;I33_Armure brisée
64;8009880c;0x80022068;18;"I34_アイテム０３４";64;I34_Objet 034
65;80098810;0x80022058;12;"I35_さく裂弾";65;I35_Bombe explosive
66;80098814;0x8002204c;8;"I36_薬草";66;I36_Herbe médicinale
67;80098818;0x80022038;18;"I37_Ｌ・ポーション";67;I37_Potion L
68;8009881c;0x80022024;18;"I38_マジカルエキス";68;I38_Extrait magique
69;80098820;0x80022010;16;"I39_キュアエール";69;I39_Breuvage de soin
70;80098824;0x80021ffc;16;"I40_アクアケープ";70;I40_Cape aquatique
71;80098828;0x80021fe8;18;"I41_Ｓ・ポーション";71;I41_Potion S
72;8009882c;0x80021fd4;18;"I42_アイテム０４２";72;I42_Objet 042
73;80098830;0x80021fc0;18;"I43_大地の章（上）";73;I43_Tome de la Terre (haut)
74;80098834;0x80021fac;18;"I44_大地の章（下）";74;I44_Tome de la Terre (bas)
75;80098838;0x80021f98;18;"I45_水魔の章（上）";75;I45_Tome du démon d’eau (haut)
76;8009883c;0x80021f84;18;"I46_水魔の章（下）";76;I46_Tome du démon d’eau (bas)
77;80098840;0x80021f70;18;"I47_火竜の章（上）";77;I47_Tome du dragon de feu (haut)
78;80098844;0x80021f5c;18;"I48_火竜の章（下）";78;I48_Tome du dragon de feu (bas)
79;80098848;0x80021f48;18;"I49_風神の章（上）";79;I49_Tome du dieu du vent (haut)
80;8009884c;0x80021f34;18;"I50_風神の章（下）";80;I50_Tome du dieu du vent (bas)
81;80098850;0x80021f20;16;"I51_オークの指輪";81;I51_Anneau d’orc
82;80098854;0x80021f0c;16;"I52_オーガの指輪";82;I52_Anneau d’ogre
