index;text fr
0;Alundra
1;Haricots de Jack
2;Bombe
3;Flèches Niv.1
4;Flèches Niv.2
5;(vide)
6;(vide)
7;Flèches chargées
8;(vide)
9;(vide)
10;(vide)
11;Boule de feu
12;Boule de feu chargée
13;(vide)
14;Boule de glace
15;Boule de glace chargée
16;Magie de terre Niv.1
17;Magie de terre Niv.2
18;(vide)
19;Magie d’eau Niv.2
20;Magie de feu Niv.1
21;Magie de feu Niv.2
22;Magie de vent Niv.1
23;Projectile de magie de feu Niv.1
24;Magie de vent Niv.2 (bas)
25;Bloc transparent (1×1×2)
26;Chariot de mine
27;Épée d’onde Niv.1
28;Épée d’onde Niv.2
29;Épée d’onde Niv.3
30;Coffre au trésor
31;I01_Épée de base
32;I02_Lame d’acier
33;I03_Destructeur de démons
34;I04_Épée sacrée Elnard
35;I05_Arc du chasseur
36;I06_Arc de William
37;I07_Bâton magique
38;I08_Objet 008
39;I09_Lancer de chaîne
40;I10_Le Broyeur
41;I11_Objet 011
42;I12_Objet 012
43;I13_Objet 013
44;I14_Bâton des glaces flottantes
45;I15_Objet 015
46;I16_Bâton de feu
47;I17_Veste en tissu
48;I18_Veste en cuir
49;I19_Veste en acier
50;I20_Veste en argent
51;I21_Objet 021
52;I22_Objet 022
53;I23_Objet 023
54;I24_Objet 024
55;I25_Bottes normales
56;I26_Bottes longues
57;I27_Bottes de triton
58;I28_Bottes magiques
59;I29_Objet 029
60;I30_Objet 030
61;I31_Haricots de Jack
62;I32_Cape de sable
63;I33_Armure brisée
64;I34_Objet 034
65;I35_Bombe explosive
66;I36_Herbe médicinale
67;I37_Potion L
68;I38_Extrait magique
69;I39_Breuvage de soin
70;I40_Cape aquatique
71;I41_Potion S
72;I42_Objet 042
73;I43_Tome de la Terre (haut)
74;I44_Tome de la Terre (bas)
75;I45_Tome du démon d’eau (haut)
76;I46_Tome du démon d’eau (bas)
77;I47_Tome du dragon de feu (haut)
78;I48_Tome du dragon de feu (bas)
79;I49_Tome du dieu du vent (haut)
80;I50_Tome du dieu du vent (bas)
81;I51_Anneau d’orc
82;I52_Anneau d’ogre
83;I53_Bracelet d’armure d’acier
84;I54_Bracelet d’armure d’argent
85;I55_Anneau de régénération
86;I56_Anneau de guérison
87;I57_Billet d’entrée
88;I58_Objet 058
89;I59_Gant de puissance
90;I60_Clé de l’ascenseur
91;I61_Clé
92;I62_Emblème du sang de pigeon
93;I63_Emblème azur
94;I64_Emblème de topaze
95;I65_Emblème brun
96;I66_Emblème écarlate
97;I67_Emblème vert sombre
98;I68_Emblème d’argent
99;I69_1 Gilda
100;I70_5 Gildas
101;I71_10 Gildas
102;I72_30 Gildas
103;I73_? Vieille clé
104;I74_Bouquet de fleurs
105;I75_Clé d’Anzes
106;I76_Testament d’Anzes
107;I77_Orbe du grand arbre
108;I78_Pierre de Zolist
109;I79_Bec en or
110;I80_Graine magique
111;I81_Petit cristal
112;I82_Grand cristal
113;I83_Récipient de vie
114;I84_Petit cœur
115;I85_Cœur moyen
116;I86_Grand cœur
117;I87_? Cadeau de remerciement
118;I88_Livre d’Elna
119;I89_Objet 089
120;I90_Objet 090
121;I91_Objet 091
122;I92_Objet 092
123;I93_Objet 093
124;I94_Objet 094
125;I95_Objet 095
126;I96_Objet 096
127;I97_Objet 097
128;(vide)
129;(vide)
130;(vide)
131;(vide)
132;(vide)
133;(vide)
134;(vide)
135;(vide)
136;(vide)
137;(vide)
138;(vide)
139;(vide)
140;(vide)
141;(vide)
142;(vide)
143;(vide)
144;(vide)
145;(vide)
146;(vide)
147;(vide)
148;(vide)
149;(vide)
150;Projectile (ligne droite)
151;Projectile (chute)
152;Projectile (parabolique)
153;Projectile (boomerang)
154;(vide)
155;(vide)
156;(vide)
157;(vide)
158;(vide)
159;(vide)
160;(vide)
161;(vide)
162;(vide)
163;(vide)
164;(vide)
165;(vide)
166;(vide)
167;(vide)
168;(vide)
169;(vide)
170;(vide)
171;(vide)
172;(vide)
173;(vide)
174;(vide)
175;(vide)
176;(vide)
177;(vide)
178;(vide)
179;(vide)
180;(vide)
181;(vide)
182;(vide)
183;(vide)
184;(vide)
185;(vide)
186;(vide)
187;(vide)
188;(vide)
189;(vide)
190;(vide)
191;(vide)
192;(vide)
193;(vide)
194;(vide)
195;(vide)
196;(vide)
197;(vide)
198;(vide)
199;(vide)
200;(vide)
201;(vide)
202;(vide)
203;(vide)
204;(vide)
205;(vide)
206;(vide)
207;(vide)
208;(vide)
209;(vide)
210;(vide)
211;(vide)
212;(vide)
213;(vide)
214;(vide)
215;(vide)
216;(vide)
217;(vide)
218;(vide)
219;(vide)
220;(vide)
221;(vide)
222;(vide)
223;(vide)
224;(vide)
225;(vide)
226;(vide)
227;Coffre d’Anzes
228;Bloc transparent (pour arc)
229;Bloc à pousser/attaquer
230;Mur à boule de fer (2×2×1) permanent
231;Bloc transparent (8×2×1)
232;Mur à boule de fer (2×2×2) permanent
233;Bloc transparent (3×3×3)
234;Pierre très lourde
235;Gros bloc transparent (6×10)
236;Nuage de sable
237;SaveBook (Ne pas toucher !)
238;Ronces enflammées 222
239;Ronces enflammées 112
240;Plateforme mobile toutes directions
241;Couvercle de tige-bombe (horizontal)
242;Couvercle de tige-bombe (dessus)
243;Couvercle de tige-bombe (vertical)
244;Déclencheur clé invisible (très petit)
245;Chariot de chargement
246;Déclencheur clé invisible (standard)
247;Tombe
248;Bloc transparent (gigantesque)
249;Bloc transparent (minuscule)
250;(vide)
251;Laser (?)
252;Rocher tombant
253;Racine destructible à la bombe
254;Panneau générique
255;FIN
256;Beizen (chef du village)
257;Tostea (épouse)
258;Turas (fils)
259;Yustel (vieille voyante)
260;Anzes (armurier)
261;Roein (prêtre)
262;Shivil (aux yeux rouges)
263;Sheela (mère)
264;Oren (mineur)
265;Luik (mineur)
266;Nuinda (mineur)
267;Zulim (mineur)
268;Sectus (chercheur)
269;Narsia (femme insomniaque)
270;Moraas (vieille femme)
271;Bojis (homme endormi à jamais)
272;Meizan (père)
273;Klein (somnambule)
274;Gouser (homme religieux)
275;Kisha (petite sœur)
276;Elin (femme à personnalités multiples)
277;Ustow (ivrogne)
278;Beglas (frère aîné)
279;Nectas (frère cadet)
280;Martis (père des jumeaux)
281;Ilni (mère des jumeaux)
282;Wines (grand-père)
283;Yaard (marchand d’objets)
284;Nauran (épouse courageuse)
285;Havan (vieil homme du cap)
286;Keitos (gardien de cimetière)
287;Lutas (gros bonhomme)
288;Fein (femme du gros)
289;Toutou (chien)
290;Tonneau générique
291;Cruche générique
292;Caisse en bois générique
293;Pierre générique
294;Cruche n°2
295;Pierre (destructible à la boule de fer) 1
296;Pierre (destructible à la boule de fer) 2
297;Herbe transportable
298;Statue poussable (événement)
299;Statue de pierre
300;Interrupteur (monter) inutilisable
301;Interrupteur (piétiner) ← à utiliser !
302;Médium
303;Livre
304;Bloc de glace transportable
305;Interrupteur (levier)
306;Interrupteur (mur)
307;Interrupteur (allumage)
308;Interrupteur (bascule)
309;Plateforme lance-flammes
310;Boule de fer (petite)
311;Boule de fer (grande)
312;Plateforme flottante (petite)
313;Plateforme flottante (grande)
314;Rocher roulant (petit)
315;Rocher roulant (grand)
316;Pilier de feu (Ice Rod)
317;Rampe de lancement
318;Sol piquant
319;Flamme
320;Ronces (bâton de feu)
321;Plateforme flottante fragile (petite)
322;Plateforme flottante fragile (grande)
323;Porte (petite)
324;Porte (grande)
325;Grille de fer (petite)
326;Grille de fer (grande)
327;Trappe d’escalier (petite)
328;Trappe d’escalier (grande)
329;◆Slime gélatineux
330;◆Projectile
331;Élin morte
332;Bojis mort
333;Moraas morte
334;Narsia morte
335;◆Beannoïde
336;Moteur à ondes
337;Flammes (pour Ice Rod)
338;◆Orc (hache) Niv.1
339;Sarty (femme du rêve)
340;Rampe de saut
341;◆Orc (masse) Niv.1
342;Tourelle à 4 directions
343;Flammes horizontales
344;◆Orc (armure de fer) Niv.1
345;Interrupteur poussoir
346;Grand visage (Aida)
347;◆Muruta (griffes) Niv.1
348;Plafond suspendu
349;Jeune médium
350;◆Muruta (arc) Niv.1
351;◆Flèche Niv.1
352;Chaîne
353;Alicia
354;Rijio
355;Mère du médium
356;◆Muruta (boomerang) Niv.1
357;◆Boomerang Niv.1
358;L’Homme en robe
359;Homme effondré
360;Médium ligoté
361;Boîte bicolore rouge/bleu
362;◆Homme-lézard (épée) Niv.1
363;Objet étoile (transportable)
364;Plaque à motif
365;◆Homme-lézard (lance) Niv.1
366;◆Lance Niv.1
367;Objet lune (transportable)
368;Objet eau (transportable)
369;Objet soleil (transportable)
370;Statue de roi, serviteur et déesse
371;◆Homme-lézard (projectiles) Niv.1
372;◆Projectile Niv.1
373;Tronc (transportable), petite boule de fer
374;Mur à boule de fer (222) – boule de fer
375;Mur à boule de fer (221)
376;Mur à boule de fer (112) – axe
377;◆Mimming (faux) Niv.1
378;Roi Mimming
379;Bojis & pierre (YM03)
380;Poulet
381;Corbeau
382;Mur à boule de fer (111)
383;Interrupteur tricolore
384;Statue d’homme-lézard transformé
385;Flotteur d’eau / grande boule de fer
386;◆Mimming (rotation) Niv.1
387;Pilier détruisible (UD■/LR●)
388;Cercueil
389;◆Roper Niv.1
390;Colonne de glace
391;Goutte d’eau
392;◆Poisson Niv.1
393;Torche
394;Générateur
395;◆Tête de roche Niv.1
396;Bois flottant .01 sur l’eau / .23 en l’air
397;Bulle .0-1-2 support /3-4 non support
398;Interrupteur de lampe
399;Maître des clés
400;Médium (pour YM08)
401;◆Homme-insecte Niv.1
402;Marin / passager / mouette
403;Chaîne .0 traversable /1 détruite /2 attente
404;◆Mimique Niv.1
405;Armure cassable
406;Porte rotative 45°
407;YM08 barrière u=eau d=feu l=sable r=glace
408;asiba (plateforme)
409;Pot magique (boïng)
410;◆Ver Niv.1
411;◆Projectile Niv.1
412;◆Wilda (tête)
413;◆Corps
414;◆Souffle de dragon
415;◆Boule de feu
416;Vide
417;Vide
418;◆Melzas (corps principal)
419;◆Laser à tête chercheuse
420;◆Projectiles en spirale (lents)
421;Vide
422;Vide
423;◆Projectiles à tête chercheuse (lents)
424;◆Double de Melzas
425;◆Homme momie Niv.1
426;Rancune de Melzas
427;Statue divine de Melzas
428;◆Fantôme Niv.1
429;Interrupteur à ballon
430;Pilier poussable (PRG)
431;◆Homme de boue Niv.1
432;◆Projectile Niv.1
433;Mini-Nilude (D12)
434;Klein (rêve uniquement)
435;Vide – OK de laisser vide
436;Vide
437;◆Tortue de roche Niv.1
438;Rocher tortue non ennemi
439;Vide
440;◆Homme-ombre Niv.1
441;◆Tortue de roche Niv.2
442;Vide
443;◆Champignon Niv.1
444;◆Spores Niv.1
445;Champignon non ennemi
446;◆Roein divin corrompu
447;◆Collider de Roein
448;◆Bombardement de Roein
449;◆Zombie Niv.1
450;◆Bouclier de Roein
451;Vide
452;◆P-Zoldia Niv.1
453;◆P-Zoldia Niv.2
454;◆Homme momie Niv.2
455;◆Guêpe Niv.1
456;◆Roper Niv.2
457;Vide
458;◆Mouche Niv.1
459;◆Slime géant (grand)
460;◆Slime géant (petit)
461;◆Homme de bois Niv.1
462;◆Projectile Niv.1
463;◆Après Melzas
464;◆Bras, projectiles
465;◆Tentacule
466;Vide
467;◆Fourneau Niv.1
468;◆Projectile Niv.1
469;◆Magie de Zoldia
470;◆Frères Rayon (gaz toxique)
471;◆Slime géant (œil)
472;◆Slime géant (corps)
473;◆Oiseau de feu Niv.1
474;◆Projectiles (plumes) Niv.1
475;◆Projectiles (étincelles) Niv.1
476;◆Monsieur Aspiration
477;◆Effet d’aspiration
478;◆Petit slime
479;◆Dragon
480;◆Flammes de dragon
481;◆Triple projectile de dragon
482;◆Loup-garou Niv.1
483;◆Débris du roi
484;◆Abyss (projectiles-bulles)
485;◆Abyss Niv.1
486;◆Abyss (droite)
487;◆Abyss (gauche)
488;◆Mille-pattes (corps principal)
489;◆Mille-pattes (tronc)
490;◆Mille-pattes (queue)
491;◆Mille-pattes (joint)
492;◆Mille-pattes (tronc 2)
493;◆Nilude (pensée résiduelle)
494;◆Boss lézard Niv.1
495;◆Nilude (avec corps)
496;◆Chute de rochers de Nilude (222)
497;◆Élément Niv.1
498;◆Roche élémentaire
499;◆Surveillance élémentaire
500;◆Frère Rayon (aîné) Niv.1
501;◆Frère Rayon (cadet)
502;◆Chute de rochers de Nilude (112)
503;◆Chute de rochers de Nilude (111)
504;◆Mille-pattes (projectiles réfléchis)
505;◆Mille-pattes (œufs explosifs)
506;◆Roi Muruta
507;◆Grand rocher du roi
508;◆Sbires du roi
509;◆Zoldia
510;◆Cercle magique de Zoldia
511;◆Projectiles de Zoldia
