Adresse;Ttext_jp;text_fr
0x80026064;無音;Silence
0x80026054;カーソル移動;Déplacement du curseur
0x8002604c;Ｏｋ;OK
0x80026044;ＮＧ;Échec
0x80026030;メニューオープン;Ouverture du menu
0x8002601c;メニュークローズ;Fermeture du menu
0x80026008;メッセージオープン;Ouverture du message
0x80025ff4;メッセージクローズ;Fermeture du message
0x80025fe0;ＨＰ回復メーター;Jauge de récupération PV
0x80025fcc;ＭＰ回復メーター;Jauge de récupération PM
0x80025fc0;ジャンプ;Saut
0x80025fb8;着地;Atterrissage
0x80025fac;ダッシュ;Dash / Course
0x80025fa4;走る;Courir
0x80025f94;スライディング;Glissade
0x80025f8c;マント;Cape
0x80025f80;砂：歩く;Marcher sur le sable
0x80025f74;砂：着地;Atterrissage sur le sable
0x80025f68;沼：歩く;Marcher dans le marais
0x80025f5c;沼：着地;Atterrissage dans le marais
0x80025f50;浅瀬：歩く;Marcher dans les eaux peu profondes
0x80025f44;浅瀬：着地;Atterrissage dans les eaux peu profondes
0x80025f3c;泳ぐ;Nager
0x80025f30;ダメージ;Dégât
0x80025f28;置く;Poser
0x80025f20;押す;Pousser
0x80025f18;投げる;Lancer
0x80025f08;落ちて壊れる;Tomber et se briser
0x80025efc;ぶつかる;Collision
0x80025ef0;剣：振る;Épée : frapper
0x80025edc;剣：気をためて振る;Épée : coup chargé
0x80025ecc;剣：草を斬る;Épée : couper l’herbe
0x80025ec0;矢：撃つ;Flèche : tirer
0x80025eac;矢：気をためて撃つ;Flèche : tir chargé
0x80025e98;矢：敵以外に当たる;Flèche : touche autre chose qu’un ennemi
0x80025e8c;鉄球：振る;Boule de fer : balancer
0x80025e74;鉄球：気をためて振る;Boule de fer : balancer (chargé)
0x80025e64;ロッド：振る;Bâton : frapper
0x80025e5c;凍る;Geler
0x80025e54;燃える;Brûler
0x80025e44;気をためて凍る;Geler (attaque chargée)
0x80025e30;気をためて燃える;Brûler (attaque chargée)
0x80025e24;気をためる;Charge de pouvoir
0x80025e14;気合まんたん;Énergie au maximum
0x80025e08;爆弾をだす;Sortir une bombe
0x80025e00;爆発大;Grosse explosion
0x80025df8;爆発中;Explosion moyenne
0x80025df0;爆発小;Petite explosion
0x80025de4;エリクサー;Élixir
0x80025dd0;ＨＰ回復アイテム大;Objet de soin PV (grand)
0x80025dbc;ＨＰ回復アイテム小;Objet de soin PV (petit)
0x80025db0;宝箱があく;Coffre au trésor s’ouvre
0x80025d98;ライフアップアイテム;Objet d’augmentation de vie
0x80025d88;アイテム入手;Obtention d’objet
0x80025d74;ＭＰ回復アイテム;Objet de récupération PM
0x80025d6c;落下;Chute
0x80025d64;　　;
0x80025d60;風;Vent
0x80025d50;トラップ解除;Désactivation du piège
0x80025d3c;トラップ解除失敗;Échec de désactivation du piège
0x80025d30;鍵を開ける;Ouvrir une serrure
0x80025d24;扉が開く;Porte qui s’ouvre
0x80025d18;テレポート;Téléportation
0x80025d10;階段;Escaliers
0x80025d04;敵：消滅;Ennemi : disparaît
0x80025cf4;敵：ダメージ１;Ennemi : dégâts 1
0x80025ce4;敵：ダメージ２;Ennemi : dégâts 2
0x80025cd4;敵：ダメージ３;Ennemi : dégâts 3
0x80025cc4;敵：ダメージ４;Ennemi : dégâts 4
0x80025cb4;マップ切替：家;Changement de carte : maison
0x80025ca0;マップ切替：汎用;Changement de carte : générique
0x80025c8c;マップ切替：落下;Changement de carte : chute
0x80025c78;マップ切替：潜水;Changement de carte : plongée
0x80025c64;マップ切替：ワープ;Changement de carte : warp
0x80025c50;マップ切替：洞窟;Changement de carte : grotte
0x80025c3c;マップ切替：階段;Changement de carte : escalier
0x80025c2c;マップ切替：橋;Changement de carte : pont
0x80025d64;　　;
0x80025c1c;振動ー＞８５;Vibration → 85
0x80025c10;台詞：男;Réplique : homme
0x80025c04;台詞：女;Réplique : femme
0x80025bf8;台詞：子供;Réplique : enfant
0x80025be4;台詞：モンスター;Réplique : monstre
0x80025bd8;タックル;Charge
0x80025bc8;アイテム発見;Objet découvert
0x80025bc0;振動;Vibration
0x80025bb0;豆の木ジャンプ;Saut sur le haricot magique
0x80025ba8;８７　;87
0x80025b98;ニルード：叫ぶ;Nilude : crie
0x80025b88;ニルード：消滅;Nilude : disparaît
0x80025b78;ニルード：歩く;Nilude : marche
0x80025b78;ニルード：歩く;Nilude : marche
0x80025b60;ニルード：橋が壊れる;Nilude : le pont se brise
0x80025b4c;ニルード：崩れる;Nilude : s’effondre
0x80025b38;ドラゴン：羽ばたく;Dragon : bat des ailes
0x80025b24;ドラゴン：ダメージ;Dragon : subit des dégâts
0x80025b14;ドラゴン：着地;Dragon : atterrit
0x80025afc;ドラゴン：火の弾を吐く;Dragon : crache des boules de feu
0x80025ae8;ドラゴン：炎を吐く;Dragon : crache des flammes
0x80025ad4;ドラゴン：吠える;Dragon : rugit
0x80025ab8;アース：がダメージを受ける;Earth : subit des dégâts
0x80025aa8;アース：が着地;Earth : atterrit
0x80025a94;アース：が浮かぶ;Earth : s’élève
0x80025a7c;アース：岩石が落ちた;Earth : rocher tombé
0x80025a60;アース：岩石が落ちてくる;Earth : rochers qui tombent
0x80025a40;アース：岩石を落とす前の叫び;Earth : cri avant de lâcher les rochers
0x80025a2c;アース：が倒される;Earth : est vaincu
0x80025a10;アビス：がダメージを受ける;Abyss : subit des dégâts
0x800259f4;アビス：腕が出てくる（小）;Abyss : bras apparaît (petit)
0x800259d8;アビス：腕が出てくる（大）;Abyss : bras apparaît (grand)
0x800259c4;アビス：腕がまわる;Abyss : bras qui tourne
0x800259ac;アビス：腕が引っ込む;Abyss : bras se rétracte
0x80025998;アビス：が倒される;Abyss : est vaincu
0x8002597c;１２：瞳のプレートに乗った;12 : monté sur la plaque de l’œil
0x8002596c;１０：刺刺出現;10 : pics apparaissent
0x80025950;１０：マッディヘドロ吐く;10 : Muddy Hedoro crache
0x80025d64;　　;
0x80025d64;　　;
0x80025938;１０：三色ＳＷ入れた;10 : interrupteur tricolore activé
0x80025928;１０：岩転がる;10 : rocher roule
0x80025914;１０：大鉄球移動;10 : grosse boule de fer se déplace
0x80025900;１０：大鉄球回転;10 : grosse boule de fer tourne
0x800258f0;１１：スリップ;11 : glissade
0x800258dc;１１：クライン叫び;11 : Klein crie
0x800258c8;１１：クライン変身;11 : Klein se transforme
0x800258ac;１１：ワープモンスタ出現;11 : monstre de warp apparaît
0x80025898;１１：小岩が転がる;11 : petits rochers roulent
0x80025880;１１：石柱せりあがる;11 : pilier de pierre se lève
0x8002586c;１１：氷が割れる;11 : glace se brise
0x80025858;１１：氷柱壊れる;11 : stalactites de glace se brisent
0x80025848;１１：氷柱滑る;11 : glisser sur la glace
0x8002582c;１６：リザードマン吠える;16 : homme-lézard rugit
0x80025810;１６：リザードマン泥吐く;16 : homme-lézard crache de la boue
0x80025800;１６：炎動く;16 : flamme se déplace
0x800257e8;１６：トカゲの像光る;16 : statue de lézard brille
0x800257cc;１６：トカゲの像動きだす;16 : statue de lézard se met en mouvement
0x800257bc;１４：炎が灯る;14 : flammes s’allument
0x800257a4;１４：機械仕掛けの扉;14 : porte mécanique
0x80025794;１４：大砲発射;14 : canon tire
0x8002577c;１４：ゾルジア内臓攻撃;14 : attaque d’organes de Zoldia
0x80025764;１４：落とし穴があく;14 : trappe s’ouvre
0x8002574c;１４：つり天井上がる;14 : plafond écrasant se lève
0x80025738;１５：火が消える;15 : feu s’éteint
0x80025724;１５：石の扉開く;15 : porte de pierre s’ouvre
0x80025708;１５：死体モンスター出現;15 : monstre cadavre apparaît
0x800256f8;１５：水滴１;15 : gouttes d’eau 1
0x800256e8;１５：水滴２;15 : gouttes d’eau 2
0x800256dc;１５：川;15 : rivière
0x800256cc;オーク吠える;Orc : rugit
0x800256bc;０２：水の流れ;02 : courant d’eau
0x800256a4;フライングキラー跳ねる;Flying Killer : rebondit
0x80025690;１８：マッシュ吐く;18 : Mush crache
0x8002567c;１８：ウッズ出現;18 : Woods apparaît
0x80025668;１８：ウッズ吐く;18 : Woods crache
0x8002565c;１９：波１;19 : vagues 1
0x80025650;１９：波２;19 : vagues 2
0x80025640;２０：間欠泉;20 : geyser intermittent
0x8002562c;２１：ミミング喋り;21 : Mimming parle
0x80025610;２１：マッディヘドロ吠える;21 : Muddy Hedoro rugit
0x80025604;１７：水車;17 : roue à eau
0x800255f0;１２：神殿外の雨;12 : pluie à l’extérieur du temple
0x800255e0;０１：夜の村;01 : village de nuit
0x800255d4;蜂が飛ぶ;Abeilles qui volent
0x800255c4;１５：草燃える;15 : herbes brûlent
0x800255ac;エリーン：水晶割れる;Elin : le cristal se brise
0x80025598;エリーン：ダメージ;Elin : subit des dégâts
0x80025588;エリーン：移動;Elin : se déplace
0x80025578;エリーン：出現;Elin : apparition
0x80025568;双子：ダメージ;Jumeaux : subissent des dégâts
0x8002555c;双子：移動;Jumeaux : se déplacent
0x80025550;双子：消滅;Jumeaux : disparaissent
0x8002553c;双子：口レーザー;Jumeaux : laser de la bouche
0x80025528;双子：双子降りる;Jumeaux : descendent
0x80025514;双子：腹レーザー;Jumeaux : laser du ventre
0x80025500;吸い込：もぐもぐ;Aspiration : mâchouille
0x800254ec;吸い込：ダメージ;Aspiration : subit des dégâts
0x800254d8;吸い込：吸い込み;Aspiration : aspire
0x800254c8;吸い込：吠える;Aspiration : rugit
0x800254b8;吸い込：吐く;Aspiration : recrache
0x800254a8;吸い込：消滅;Aspiration : disparaît
0x80025490;ゾルジア：カッター回る;Zoldia : lames tournent
0x80025478;ゾルジア：カッター飛ぶ;Zoldia : lames volantes
0x80025468;ゾルジア：炎;Zoldia : flammes
0x80025454;ゾルジア：岩落ちる;Zoldia : rochers tombent
0x80025440;ゾルジア：岩落ちた;Zoldia : rochers tombés
0x8002542c;ゾルジア：手が光る;Zoldia : main qui brille
0x8002541c;ゾルジア：光る;Zoldia : brille
0x80025408;ゾルジア：魔法陣;Zoldia : cercle magique
0x80025d64;　　;
0x800253f4;ゾルジア：ダメージ;Zoldia : subit des dégâts
0x800253e0;アビス：ミニ竜巻？;Abyss : mini-tornade
0x800253d0;アビス：渦巻;Abyss : tourbillon
0x800253c0;アビス：出現;Abyss : apparition
0x800253ac;ウィルダ：ダメージ;Wilda : subit des dégâts
0x80025394;ウィルダ：火の弾を吐く;Wilda : crache des boules de feu
0x80025380;ウィルダ：炎を吐く;Wilda : crache des flammes
0x80025368;ウィルダ：首が壊れる;Wilda : cou se brise
0x80025354;ウィルダ：燃える;Wilda : brûle
0x80025340;ウィルダ：崩れる;Wilda : s’effondre
0x80025330;ウィルダ：消滅;Wilda : disparaît
0x80025324;００：噴水;00 : fontaine
0x80025310;００：岩が崩れる;00 : rochers s’effondrent
0x80025304;００：犬;00 : chien
0x800252f8;００：風車;00 : moulin à vent
0x800252e8;００：本を開く;00 : ouvrir le livre
0x800252d4;町：ムルータの声;Village : voix de Muruta
0x800252b4;町：ムルータキングが胸を叩く;Village : le roi Muruta se frappe la poitrine
0x80025298;００：スライミージェル出現;00 : slime gélatineux apparaît
0x80025280;００：岩亀、岩顔出現;00 : tortue de roche et visage de roche apparaissent
0x80025270;００：火を吹く;00 : souffle de feu
0x8002525c;００：岩亀吠える;00 : tortue de roche rugit
0x80025244;００：ビーンノイド出現;00 : Beannoid apparaît
0x80025230;００：岩顔転がる;00 : visage de roche roule
0x8002521c;００：岩顔吠える;00 : visage de roche rugit
0x800251fc;００：トレジャーイーター出現;00 : Treasure Eater apparaît
0x800251f0;２１５　;215
0x800251e4;００：滝;00 : cascade
0x800251d0;０２：扉が閉まる;02 : porte se ferme
0x800251c0;０２：スイッチ;02 : interrupteur
0x800251ac;０２：メルザス出現;02 : apparition de Melzas
0x80025198;０２：メルザス消滅;02 : disparition de Melzas
0x80025188;０２：橋　出現;02 : pont apparaît
0x80025170;０２：仕掛け扉が開く;02 : porte mécanique s’ouvre
0x8002515c;０２：蓋があがる;02 : couvercle se lève
0x80025148;０２：鉄格子開く;02 : grille en fer s’ouvre
0x80025134;０２：鉄球落ちる;02 : boule de fer tombe
0x80025120;炭１：エンジン起動;Mine 1 : moteur en marche
0x8002510c;炭２：エレベーター;Mine 2 : ascenseur
0x800250f8;炭２：エンジン踏む;Mine 2 : moteur actionné
0x800250e4;炭２：トロッコ走行;Mine 2 : chariot en marche
0x800250d0;炭２：岩が落ちる;Mine 2 : rochers tombent
0x800250b4;１３：ムルータキング吠る;13 : roi Muruta hurle
0x800250a0;１３：オオカミ吠る;13 : loup hurle
0x80025094;００：川;00 : rivière
0x80025088;００：地響;00 : grondement de la terre
0x80025074;０８：ゾンビ吠える;08 : zombie rugit
0x80025060;０８：ミイラ吠える;08 : momie rugit
0x8002504c;０９：錆びたＳＷ;09 : interrupteur rouillé
0x80025038;０９：不幸の壁紙;09 : tapisserie du malheur
0x80025020;０９：ワープゲート出現;09 : portail de warp apparaît
0x80025010;０９：賢者出現;09 : sage apparaît
0x80025000;０９：賢者消滅;09 : sage disparaît
0x80024fe4;０８：ガーゴイルの像を斬る;08 : frapper la statue de gargouille
0x80024fd0;０８：サーティ登場;08 : Sarty apparaît
0x80024fbc;０８：サーティ消滅;08 : Sarty disparaît
0x80024fa8;０８：ブロック出現;08 : bloc apparaît
0x80024f8c;１２：ケーブクリケット跳ぶ;12 : criquet des cavernes saute
0x80024f74;１２：ワーム砂に潜る;12 : ver plonge dans le sable
0x80024f5c;１２：ワーム砂から出る;12 : ver sort du sable
0x80024f44;１２：ユニオンセル出現;12 : Union Cell apparaît
0x80024f30;１２：玉座が開く;12 : trône s’ouvre
0x80024f18;１２：取り巻き念仏唱る;12 : sbires récitent un mantra
0x80024f04;１２：取り巻き変身;12 : sbires se transforment
0x80024ef4;１２：女神出現;12 : déesse apparaît
0x80024ed4;１２：図形をプレートに乗せる;12 : poser la forme sur la plaque
0x80024ebc;１２：大鉄球伸び縮み;12 : grosse boule de fer se dilate
0x80024eb4;２５６;256
0x80024eac;２５７;257
0x80024ea4;２５８;258
0x80024e9c;２５９;259
0x80024e8c;ドラゴン：消滅;Dragon : disparaît
0x80024e80;ジル：着地;Jill : atterrit
0x80024e70;ジル：ダメージ;Jill : subit des dégâts
0x80024e60;ジル：吠える;Jill : rugit
0x80024e4c;ムカデ：ダメージ;Mille-pattes : subit des dégâts
0x80024e38;ムカデ：甲羅を叩く;Mille-pattes : carapace frappée
0x80024e24;ムカデ：尾を振る;Mille-pattes : remue la queue
0x80024e0c;ムカデ：節々が壊れる;Mille-pattes : segments se brisent
0x80024df8;ムカデ：卵をうむ;Mille-pattes : pond des œufs
0x80024de4;ムカデ：卵壊れる;Mille-pattes : œufs détruits
0x80024dd0;ムカデ：甲羅復活;Mille-pattes : carapace se régénère
0x80024db4;ロエイン：ガードボール出現;Roein : sphères de garde apparaissent
0x80024da0;ロエイン：吠える;Roein : rugit
0x80024d8c;ロエイン：ダメージ;Roein : subit des dégâts
0x80024d7c;ロエイン：変身;Roein : se transforme
0x80024d64;ロエイン：弾が落ちる;Roein : les projectiles tombent
0x80024d4c;ロエイン：背中レーザー;Roein : laser dorsal
0x80024d34;ロエイン：腕レーザー;Roein : laser du bras
0x80024d24;ロエイン：消滅;Roein : disparaît
0x80024d1c;２７９;279
0x80024d08;ザザン：ダメージ;Zazan : subit des dégâts
0x80024cf8;ザザン：着地;Zazan : atterrit
0x80024ce8;ザザン：崩れる;Zazan : s’effondre
0x80024cd8;ザザン：回転;Zazan : tourne
0x80024cc8;ザザン：消滅;Zazan : disparaît
0x80024cb8;サーティ：変身;Sarty : se transforme
0x80024ca4;サーティ：ダメージ;Sarty : subit des dégâts
0x80024c94;サーティ：移動;Sarty : se déplace
0x80024c80;サーティ：ワープ;Sarty : se téléporte
0x80024c70;サーティ：弾;Sarty : projectile
0x80024c60;サーティ：跳ぶ;Sarty : saute
0x80024c50;サーティ：消滅;Sarty : disparaît
0x80024c48;２９２;292
0x80024c40;２９３;293
0x80024c38;２９４;294
0x80024c30;２９５;295
0x80024c28;２９６;296
