index,pointer_address,string_address,length_bytes,text
0,8009870c,0x80022450,10,"アランドラ"
1,80098710,0x80022440,12,"ジャックの豆"
2,80098714,0x80022438,4,"爆弾"
3,80098718,0x8002242c,8,"矢Ｌｖ１"
4,8009871c,0x80022420,8,"矢Ｌｖ２"
5,80098720,0x80022418,6,"(空き)"
6,80098724,0x80022418,6,"(空き)"
7,80098728,0x80022410,6,"ため矢"
8,8009872c,0x80022418,6,"(空き)"
9,80098730,0x80022418,6,"(空き)"
10,80098734,0x80022418,6,"(空き)"
11,80098738,0x80022408,6,"火炎弾"
12,8009873c,0x800223fc,10,"ため火炎弾"
13,80098740,0x80022418,6,"(空き)"
14,80098744,0x800223f4,4,"氷弾"
15,80098748,0x800223e8,8,"ため氷弾"
16,8009874c,0x800223d8,14,"地系魔法Ｌｖ１"
17,80098750,0x800223c8,14,"地系魔法Ｌｖ２"
18,80098754,0x80022418,6,"(空き)"
19,80098758,0x800223b8,14,"水系魔法Ｌｖ２"
20,8009875c,0x800223a8,14,"火系魔法Ｌｖ１"
21,80098760,0x80022398,14,"火系魔法Ｌｖ２"
22,80098764,0x80022388,14,"風系魔法Ｌｖ１"
23,80098768,0x80022374,18,"火系魔法Ｌｖ１の弾"
24,8009876c,0x8002235c,20,"風系魔法Ｌｖ２（下）"
25,80098770,0x80022344,20,"透明君（１×１×２）"
26,80098774,0x80022338,8,"トロッコ"
27,80098778,0x80022328,12,"波動剣Ｌｖ１"
28,8009877c,0x80022318,12,"波動剣Ｌｖ２"
29,80098780,0x80022308,12,"波動剣Ｌｖ３"
30,80098784,0x80022300,4,"宝箱"
31,80098788,0x800222ec,18,"I01_ハンディソード"
32,8009878c,0x800222d8,16,"I02_スチルエッジ"
33,80098790,0x800222c4,18,"I03_ディモンバスタ"
34,80098794,0x800222b0,18,"I04_聖剣エルナート"
35,80098798,0x8002229c,16,"I05_ハンターボウ"
36,8009879c,0x80022288,18,"I06_ウィリアムボウ"
37,800987a0,0x80022278,12,"I07_魔導の杖"
38,800987a4,0x80022264,18,"I08_アイテム００８"
39,800987a8,0x80022250,18,"I09_チェインスロー"
40,800987ac,0x8002223c,16,"I10_クラッシャー"
41,800987b0,0x80022228,18,"I11_アイテム０１１"
42,800987b4,0x80022214,18,"I12_アイテム０１２"
43,800987b8,0x80022200,18,"I13_アイテム０１３"
44,800987bc,0x800221f0,12,"I14_流氷の杖"
45,800987c0,0x800221dc,18,"I15_アイテム０１５"
46,800987c4,0x800221cc,12,"I16_火球の杖"
47,800987c8,0x800221b8,18,"I17_布のジャケット"
48,800987cc,0x800221a4,18,"I18_皮のジャケット"
49,800987d0,0x80022190,18,"I19_鋼のジャケット"
50,800987d4,0x8002217c,18,"I20_銀のジャケット"
51,800987d8,0x80022168,18,"I21_アイテム０２１"
52,800987dc,0x80022154,18,"I22_アイテム０２２"
53,800987e0,0x80022140,18,"I23_アイテム０２３"
54,800987e4,0x8002212c,18,"I24_アイテム０２４"
55,800987e8,0x80022118,18,"I25_ノーマルブーツ"
56,800987ec,0x80022104,16,"I26_ロングブーツ"
57,800987f0,0x800220f0,18,"I27_マーマンブーツ"
58,800987f4,0x800220dc,18,"I28_マジックブーツ"
59,800987f8,0x800220c8,18,"I29_アイテム０２９"
60,800987fc,0x800220b4,18,"I30_アイテム０３０"
61,80098800,0x800220a0,16,"I31_ジャックの豆"
62,80098804,0x8002208c,16,"I32_サンドケープ"
63,80098808,0x8002207c,12,"I33_壊れた鎧"
64,8009880c,0x80022068,18,"I34_アイテム０３４"
65,80098810,0x80022058,12,"I35_さく裂弾"
66,80098814,0x8002204c,8,"I36_薬草"
67,80098818,0x80022038,18,"I37_Ｌ・ポーション"
68,8009881c,0x80022024,18,"I38_マジカルエキス"
69,80098820,0x80022010,16,"I39_キュアエール"
70,80098824,0x80021ffc,16,"I40_アクアケープ"
71,80098828,0x80021fe8,18,"I41_Ｓ・ポーション"
72,8009882c,0x80021fd4,18,"I42_アイテム０４２"
73,80098830,0x80021fc0,18,"I43_大地の章（上）"
74,80098834,0x80021fac,18,"I44_大地の章（下）"
75,80098838,0x80021f98,18,"I45_水魔の章（上）"
76,8009883c,0x80021f84,18,"I46_水魔の章（下）"
77,80098840,0x80021f70,18,"I47_火竜の章（上）"
78,80098844,0x80021f5c,18,"I48_火竜の章（下）"
79,80098848,0x80021f48,18,"I49_風神の章（上）"
80,8009884c,0x80021f34,18,"I50_風神の章（下）"
81,80098850,0x80021f20,16,"I51_オークの指輪"
82,80098854,0x80021f0c,16,"I52_オーガの指輪"
83,80098858,0x80021efc,14,"I53_鋼鎧の腕輪"
84,8009885c,0x80021eec,14,"I54_銀鎧の腕輪"
85,80098860,0x80021edc,12,"I55_回復の輪"
86,80098864,0x80021ecc,12,"I56_治癒の輪"
87,80098868,0x80021ec0,10,"I57_入場券"
88,8009886c,0x80021eac,18,"I58_アイテム０５８"
89,80098870,0x80021e98,18,"I59_パワーグローブ"
90,80098874,0x80021e80,20,"I60_エレベーターの鍵"
91,80098878,0x80021e78,6,"I61_鍵"
92,8009887c,0x80021e68,14,"I62_鳩血の紋章"
93,80098880,0x80021e58,14,"I63_青碧の紋章"
94,80098884,0x80021e48,14,"I64_黄玉の紋章"
95,80098888,0x80021e38,14,"I65_褐色の紋章"
96,8009888c,0x80021e28,14,"I66_真紅の紋章"
97,80098890,0x80021e18,14,"I67_深緑の紋章"
98,80098894,0x80021e08,14,"I68_白銀の紋章"
99,80098898,0x80021df8,12,"I69_１ギルダ"
100,8009889c,0x80021de8,12,"I70_５ギルダ"
101,800988a0,0x80021dd8,14,"I71_１０ギルダ"
102,800988a4,0x80021dc8,14,"I72_３０ギルダ"
103,800988a8,0x80021db8,14,"I73_？古びた鍵"
104,800988ac,0x80021dac,8,"I74_花束"
105,800988b0,0x80021d98,16,"I75_アンゼスの鍵"
106,800988b4,0x80021d84,18,"I76_アンゼスの遺書"
107,800988b8,0x80021d74,12,"I77_大樹の珠"
108,800988bc,0x80021d60,16,"I78_ゾリストの石"
109,800988c0,0x80021d4c,16,"I79_金のくちばし"
110,800988c4,0x80021d38,18,"I80_マジックシード"
111,800988c8,0x80021d2c,10,"I81_小水晶"
112,800988cc,0x80021d20,10,"I82_大水晶"
113,800988d0,0x80021d14,10,"I83_命の器"
114,800988d4,0x80021d04,12,"I84_小ハート"
115,800988d8,0x80021cf4,12,"I85_中ハート"
116,800988dc,0x80021ce4,12,"I86_大ハート"
117,800988e0,0x80021cd4,14,"I87_？お礼の品"
118,800988e4,0x80021cc4,14,"I88_エルナの本"
119,800988e8,0x80021cb0,18,"I89_アイテム０８９"
120,800988ec,0x80021c9c,18,"I90_アイテム０９０"
121,800988f0,0x80021c88,18,"I91_アイテム０９１"
122,800988f4,0x80021c74,18,"I92_アイテム０９２"
123,800988f8,0x80021c60,18,"I93_アイテム０９３"
124,800988fc,0x80021c4c,18,"I94_アイテム０９４"
125,80098900,0x80021c38,18,"I95_アイテム０９５"
126,80098904,0x80021c24,18,"I96_アイテム０９６"
127,80098908,0x80021c10,18,"I97_アイテム０９７"
128,8009890c,0x80022418,6,"(空き)"
129,80098910,0x80022418,6,"(空き)"
130,80098914,0x80022418,6,"(空き)"
131,80098918,0x80022418,6,"(空き)"
132,8009891c,0x80022418,6,"(空き)"
133,80098920,0x80022418,6,"(空き)"
134,80098924,0x80022418,6,"(空き)"
135,80098928,0x80022418,6,"(空き)"
136,8009892c,0x80022418,6,"(空き)"
137,80098930,0x80022418,6,"(空き)"
138,80098934,0x80022418,6,"(空き)"
139,80098938,0x80022418,6,"(空き)"
140,8009893c,0x80022418,6,"(空き)"
141,80098940,0x80022418,6,"(空き)"
142,80098944,0x80022418,6,"(空き)"
143,80098948,0x80022418,6,"(空き)"
144,8009894c,0x80022418,6,"(空き)"
145,80098950,0x80022418,6,"(空き)"
146,80098954,0x80022418,6,"(空き)"
147,80098958,0x80022418,6,"(空き)"
148,8009895c,0x80022418,6,"(空き)"
149,80098960,0x80022418,6,"(空き)"
150,80098964,0x80021c04,10,"弾（直線）"
151,80098968,0x80021bf8,10,"弾（落下）"
152,8009896c,0x80021be8,12,"弾（放物線）"
153,80098970,0x80021bd4,16,"弾（ブーメラン）"
154,80098974,0x80022418,6,"(空き)"
155,80098978,0x80022418,6,"(空き)"
156,8009897c,0x80022418,6,"(空き)"
157,80098980,0x80022418,6,"(空き)"
158,80098984,0x80022418,6,"(空き)"
159,80098988,0x80022418,6,"(空き)"
160,8009898c,0x80022418,6,"(空き)"
161,80098990,0x80022418,6,"(空き)"
162,80098994,0x80022418,6,"(空き)"
163,80098998,0x80022418,6,"(空き)"
164,8009899c,0x80022418,6,"(空き)"
165,800989a0,0x80022418,6,"(空き)"
166,800989a4,0x80022418,6,"(空き)"
167,800989a8,0x80022418,6,"(空き)"
168,800989ac,0x80022418,6,"(空き)"
169,800989b0,0x80022418,6,"(空き)"
170,800989b4,0x80022418,6,"(空き)"
171,800989b8,0x80022418,6,"(空き)"
172,800989bc,0x80022418,6,"(空き)"
173,800989c0,0x80022418,6,"(空き)"
174,800989c4,0x80022418,6,"(空き)"
175,800989c8,0x80022418,6,"(空き)"
176,800989cc,0x80022418,6,"(空き)"
177,800989d0,0x80022418,6,"(空き)"
178,800989d4,0x80022418,6,"(空き)"
179,800989d8,0x80022418,6,"(空き)"
180,800989dc,0x80022418,6,"(空き)"
181,800989e0,0x80022418,6,"(空き)"
182,800989e4,0x80022418,6,"(空き)"
183,800989e8,0x80022418,6,"(空き)"
184,800989ec,0x80022418,6,"(空き)"
185,800989f0,0x80022418,6,"(空き)"
186,800989f4,0x80022418,6,"(空き)"
187,800989f8,0x80022418,6,"(空き)"
188,800989fc,0x80022418,6,"(空き)"
189,80098a00,0x80022418,6,"(空き)"
190,80098a04,0x80022418,6,"(空き)"
191,80098a08,0x80022418,6,"(空き)"
192,80098a0c,0x80022418,6,"(空き)"
193,80098a10,0x80022418,6,"(空き)"
194,80098a14,0x80022418,6,"(空き)"
195,80098a18,0x80022418,6,"(空き)"
196,80098a1c,0x80022418,6,"(空き)"
197,80098a20,0x80022418,6,"(空き)"
