Adresse,Texte (Shift-JIS),Traduction Française
0x80026064,無音,Silence
0x80026054,カーソル移動,Déplacement du curseur
0x8002604c,Ｏｋ,OK
0x80026044,ＮＧ,Échec
0x80026030,メニューオープン,Ouverture du menu
0x8002601c,メニュークローズ,Fermeture du menu
0x80026008,メッセージオープン,
0x80025ff4,メッセージクローズ,
0x80025fe0,ＨＰ回復メーター,
0x80025fcc,ＭＰ回復メーター,
0x80025fc0,ジャンプ,Saut
0x80025fb8,着地,
0x80025fac,ダッシュ,Dash / Course
0x80025fa4,走る,
0x80025f94,スライディング,
0x80025f8c,マント,
0x80025f80,砂：歩く,
0x80025f74,砂：着地,
0x80025f68,沼：歩く,
0x80025f5c,沼：着地,
0x80025f50,浅瀬：歩く,
0x80025f44,浅瀬：着地,
0x80025f3c,泳ぐ,
0x80025f30,ダメージ,Dégât
0x80025f28,置く,
0x80025f20,押す,
0x80025f18,投げる,
0x80025f08,落ちて壊れる,
0x80025efc,ぶつかる,
0x80025ef0,剣：振る,
0x80025edc,剣：気をためて振る,
0x80025ecc,剣：草を斬る,
0x80025ec0,矢：撃つ,
0x80025eac,矢：気をためて撃つ,
0x80025e98,矢：敵以外に当たる,
0x80025e8c,鉄球：振る,
0x80025e74,鉄球：気をためて振る,
0x80025e64,ロッド：振る,
0x80025e5c,凍る,
0x80025e54,燃える,
0x80025e44,気をためて凍る,
0x80025e30,気をためて燃える,
0x80025e24,気をためる,
0x80025e14,気合まんたん,
0x80025e08,爆弾をだす,
0x80025e00,爆発大,
0x80025df8,爆発中,
0x80025df0,爆発小,
0x80025de4,エリクサー,
0x80025dd0,ＨＰ回復アイテム大,
0x80025dbc,ＨＰ回復アイテム小,
0x80025db0,宝箱があく,
0x80025d98,ライフアップアイテム,
0x80025d88,アイテム入手,
0x80025d74,ＭＰ回復アイテム,
0x80025d6c,落下,
0x80025d64,　　,
0x80025d60,風,
0x80025d50,トラップ解除,
0x80025d3c,トラップ解除失敗,
0x80025d30,鍵を開ける,
0x80025d24,扉が開く,
0x80025d18,テレポート,
0x80025d10,階段,
0x80025d04,敵：消滅,
0x80025cf4,敵：ダメージ１,
0x80025ce4,敵：ダメージ２,
0x80025cd4,敵：ダメージ３,
0x80025cc4,敵：ダメージ４,
0x80025cb4,マップ切替：家,
0x80025ca0,マップ切替：汎用,
0x80025c8c,マップ切替：落下,
0x80025c78,マップ切替：潜水,
0x80025c64,マップ切替：ワープ,
0x80025c50,マップ切替：洞窟,
0x80025c3c,マップ切替：階段,
0x80025c2c,マップ切替：橋,
0x80025d64,　　,
0x80025c1c,振動ー＞８５,
0x80025c10,台詞：男,
0x80025c04,台詞：女,
0x80025bf8,台詞：子供,
0x80025be4,台詞：モンスター,
0x80025bd8,タックル,
0x80025bc8,アイテム発見,
0x80025bc0,振動,
0x80025bb0,豆の木ジャンプ,
0x80025ba8,８７　,
0x80025b98,ニルード：叫ぶ,
0x80025b88,ニルード：消滅,
0x80025b78,ニルード：歩く,
0x80025b78,ニルード：歩く,
0x80025b60,ニルード：橋が壊れる,
0x80025b4c,ニルード：崩れる,
0x80025b38,ドラゴン：羽ばたく,
0x80025b24,ドラゴン：ダメージ,
0x80025b14,ドラゴン：着地,
0x80025afc,ドラゴン：火の弾を吐く,
0x80025ae8,ドラゴン：炎を吐く,
0x80025ad4,ドラゴン：吠える,
0x80025ab8,アース：がダメージを受ける,
0x80025aa8,アース：が着地,
0x80025a94,アース：が浮かぶ,
0x80025a7c,アース：岩石が落ちた,
0x80025a60,アース：岩石が落ちてくる,
0x80025a40,アース：岩石を落とす前の叫び,
0x80025a2c,アース：が倒される,
0x80025a10,アビス：がダメージを受ける,
0x800259f4,アビス：腕が出てくる（小）,
0x800259d8,アビス：腕が出てくる（大）,
0x800259c4,アビス：腕がまわる,
0x800259ac,アビス：腕が引っ込む,
0x80025998,アビス：が倒される,
0x8002597c,１２：瞳のプレートに乗った,
0x8002596c,１０：刺刺出現,
0x80025950,１０：マッディヘドロ吐く,
0x80025d64,　　,
0x80025d64,　　,
0x80025938,１０：三色ＳＷ入れた,
0x80025928,１０：岩転がる,
0x80025914,１０：大鉄球移動,
0x80025900,１０：大鉄球回転,
0x800258f0,１１：スリップ,
0x800258dc,１１：クライン叫び,
0x800258c8,１１：クライン変身,
0x800258ac,１１：ワープモンスタ出現,
0x80025898,１１：小岩が転がる,
0x80025880,１１：石柱せりあがる,
0x8002586c,１１：氷が割れる,
0x80025858,１１：氷柱壊れる,
0x80025848,１１：氷柱滑る,
0x8002582c,１６：リザードマン吠える,
0x80025810,１６：リザードマン泥吐く,
0x80025800,１６：炎動く,
0x800257e8,１６：トカゲの像光る,
0x800257cc,１６：トカゲの像動きだす,
0x800257bc,１４：炎が灯る,
0x800257a4,１４：機械仕掛けの扉,
0x80025794,１４：大砲発射,
0x8002577c,１４：ゾルジア内臓攻撃,
0x80025764,１４：落とし穴があく,
0x8002574c,１４：つり天井上がる,
0x80025738,１５：火が消える,
0x80025724,１５：石の扉開く,
0x80025708,１５：死体モンスター出現,
0x800256f8,１５：水滴１,
0x800256e8,１５：水滴２,
0x800256dc,１５：川,
0x800256cc,オーク吠える,
0x800256bc,０２：水の流れ,
0x800256a4,フライングキラー跳ねる,
0x80025690,１８：マッシュ吐く,
0x8002567c,１８：ウッズ出現,
0x80025668,１８：ウッズ吐く,
0x8002565c,１９：波１,
0x80025650,１９：波２,
0x80025640,２０：間欠泉,
0x8002562c,２１：ミミング喋り,
0x80025610,２１：マッディヘドロ吠える,
0x80025604,１７：水車,
0x800255f0,１２：神殿外の雨,
0x800255e0,０１：夜の村,
0x800255d4,蜂が飛ぶ,
0x800255c4,１５：草燃える,
0x800255ac,エリーン：水晶割れる,
0x80025598,エリーン：ダメージ,
0x80025588,エリーン：移動,
0x80025578,エリーン：出現,
0x80025568,双子：ダメージ,
0x8002555c,双子：移動,
0x80025550,双子：消滅,
0x8002553c,双子：口レーザー,
0x80025528,双子：双子降りる,
0x80025514,双子：腹レーザー,
0x80025500,吸い込：もぐもぐ,
0x800254ec,吸い込：ダメージ,
0x800254d8,吸い込：吸い込み,
0x800254c8,吸い込：吠える,
0x800254b8,吸い込：吐く,
0x800254a8,吸い込：消滅,
0x80025490,ゾルジア：カッター回る,
0x80025478,ゾルジア：カッター飛ぶ,
0x80025468,ゾルジア：炎,
0x80025454,ゾルジア：岩落ちる,
0x80025440,ゾルジア：岩落ちた,
0x8002542c,ゾルジア：手が光る,
0x8002541c,ゾルジア：光る,
0x80025408,ゾルジア：魔法陣,
0x80025d64,　　,
0x800253f4,ゾルジア：ダメージ,
0x800253e0,アビス：ミニ竜巻？,
0x800253d0,アビス：渦巻,
0x800253c0,アビス：出現,
0x800253ac,ウィルダ：ダメージ,
0x80025394,ウィルダ：火の弾を吐く,
0x80025380,ウィルダ：炎を吐く,
0x80025368,ウィルダ：首が壊れる,
0x80025354,ウィルダ：燃える,
0x80025340,ウィルダ：崩れる,
0x80025330,ウィルダ：消滅,
0x80025324,００：噴水,
0x80025310,００：岩が崩れる,
0x80025304,００：犬,
0x800252f8,００：風車,
0x800252e8,００：本を開く,
0x800252d4,町：ムルータの声,
0x800252b4,町：ムルータキングが胸を叩く,
0x80025298,００：スライミージェル出現,
0x80025280,００：岩亀、岩顔出現,
0x80025270,００：火を吹く,
0x8002525c,００：岩亀吠える,
0x80025244,００：ビーンノイド出現,
0x80025230,００：岩顔転がる,
0x8002521c,００：岩顔吠える,
0x800251fc,００：トレジャーイーター出現,
0x800251f0,２１５　,
0x800251e4,００：滝,
0x800251d0,０２：扉が閉まる,
0x800251c0,０２：スイッチ,
0x800251ac,０２：メルザス出現,
0x80025198,０２：メルザス消滅,
0x80025188,０２：橋　出現,
0x80025170,０２：仕掛け扉が開く,
0x8002515c,０２：蓋があがる,
0x80025148,０２：鉄格子開く,
0x80025134,０２：鉄球落ちる,
0x80025120,炭１：エンジン起動,
0x8002510c,炭２：エレベーター,
0x800250f8,炭２：エンジン踏む,
0x800250e4,炭２：トロッコ走行,
0x800250d0,炭２：岩が落ちる,
0x800250b4,１３：ムルータキング吠る,
0x800250a0,１３：オオカミ吠る,
0x80025094,００：川,
0x80025088,００：地響,
0x80025074,０８：ゾンビ吠える,
0x80025060,０８：ミイラ吠える,
0x8002504c,０９：錆びたＳＷ,
0x80025038,０９：不幸の壁紙,
0x80025020,０９：ワープゲート出現,
0x80025010,０９：賢者出現,
0x80025000,０９：賢者消滅,
0x80024fe4,０８：ガーゴイルの像を斬る,
0x80024fd0,０８：サーティ登場,
0x80024fbc,０８：サーティ消滅,
0x80024fa8,０８：ブロック出現,
0x80024f8c,１２：ケーブクリケット跳ぶ,
0x80024f74,１２：ワーム砂に潜る,
0x80024f5c,１２：ワーム砂から出る,
0x80024f44,１２：ユニオンセル出現,
0x80024f30,１２：玉座が開く,
0x80024f18,１２：取り巻き念仏唱る,
0x80024f04,１２：取り巻き変身,
0x80024ef4,１２：女神出現,
0x80024ed4,１２：図形をプレートに乗せる,
0x80024ebc,１２：大鉄球伸び縮み,
0x80024eb4,２５６,
0x80024eac,２５７,
0x80024ea4,２５８,
0x80024e9c,２５９,
0x80024e8c,ドラゴン：消滅,
0x80024e80,ジル：着地,
0x80024e70,ジル：ダメージ,
0x80024e60,ジル：吠える,
0x80024e4c,ムカデ：ダメージ,
0x80024e38,ムカデ：甲羅を叩く,
0x80024e24,ムカデ：尾を振る,
0x80024e0c,ムカデ：節々が壊れる,
0x80024df8,ムカデ：卵をうむ,
0x80024de4,ムカデ：卵壊れる,
0x80024dd0,ムカデ：甲羅復活,
0x80024db4,ロエイン：ガードボール出現,
0x80024da0,ロエイン：吠える,
0x80024d8c,ロエイン：ダメージ,
0x80024d7c,ロエイン：変身,
0x80024d64,ロエイン：弾が落ちる,
0x80024d4c,ロエイン：背中レーザー,
0x80024d34,ロエイン：腕レーザー,
0x80024d24,ロエイン：消滅,
0x80024d1c,２７９,
0x80024d08,ザザン：ダメージ,
0x80024cf8,ザザン：着地,
0x80024ce8,ザザン：崩れる,
0x80024cd8,ザザン：回転,
0x80024cc8,ザザン：消滅,
0x80024cb8,サーティ：変身,
0x80024ca4,サーティ：ダメージ,
0x80024c94,サーティ：移動,
0x80024c80,サーティ：ワープ,
0x80024c70,サーティ：弾,
0x80024c60,サーティ：跳ぶ,
0x80024c50,サーティ：消滅,
0x80024c48,２９２,
0x80024c40,２９３,
0x80024c38,２９４,
0x80024c30,２９５,
0x80024c28,２９６,
0x80024c20,２９７,
0x80024c18,２９８,
0x80024c10,２９９,
0x80024c04,５６：鳥,
0x80024bf4,５６：鳥の羽音,
0x80024be8,５６：波,
0x80024bdc,５６：雷,
0x80024bc8,４９：家がつぶれる,
0x80024bb4,４９：家がきしむ２,
0x80024ba8,５６：嵐,
0x80024b9c,５７：爆破,
0x80024b8c,５７：扉を叩く,
0x80024b7c,５２：柱を押す,
0x80024b68,５７：鉄球壊れる,
0x80024b54,５７：椅子を動かす,
0x80024b40,５７：本がワープ,
0x80024b2c,５７：本棚に入れる,
0x80024b1c,５７：本棚動く,
0x80024b0c,５７：本落ちる,
0x80024af4,５２：スライド式扉開く,
0x80024aec,５６：,
0x80024aec,５６：,
0x80024ad4,５８：メディアム消える,
0x80024abc,５８：メディアム出現,
0x80024aa4,５８：メディアム笑う,
0x80024a98,４９：炎,
0x80024a8c,５８：群集,
0x80024a74,５８：メディアム泣く,
0x80024a64,５８：岩扉崩壊,
0x80024a4c,５８：岩メディアム殴る,
0x80024a34,５９：渦に巻き込まれる,
0x80024a20,５９：流木落ちる,
0x80024a10,５９：水が引く,
0x800249fc,５９：流木砕ける,
0x800249ec,４１：大扉開く,
0x800249d8,５９：エンジン崩壊,
0x800249c0,５２：錆びた鎖を叩く,
0x800249a8,４０：モアイ火を吐く,
0x80024994,４０：モアイ叩く,
0x80024980,４０：モアイ破壊,
0x8002496c,４０：石像を押す,
0x80024958,４０：針天井落下,
0x80024950,３３９,
0x80024940,５２：歯車回る,
0x80024928,４０：モアイの火が漂う,
0x80024910,４０：モアイレーザー,
0x800248f4,４０：ゾルジア攻撃（不可,
0x800248e0,４０：ニルード出現,
0x800248d8,３４５,
0x800248d0,３４６,
0x800248b8,４１：エリーンの笑い,
0x800248b0,３４８,
0x80024898,４１：クリスタル光る,
0x80024878,４１：クリスタル割れる（不可,
0x80024868,４１：ローパー,
0x8002485c,４２：溶岩,
0x80024850,４２：炎,
0x80024840,４２：火山弾,
0x80024838,３５５,
0x80024830,３５６,
0x80024828,３５７,
0x8002481c,４６：木扉,
0x80024814,３５９,
0x800247fc,４６：エレベータ始動,
0x800247e4,４６：エレベータ停止,
0x800247d4,４６：柵の罠,
0x800247c0,４６：ムルータ喜ぶ,
0x800247b4,４７：溶岩,
0x800247a4,４７：炎が凍る,
0x80024790,４７：氷が溶ける,
0x80024784,４７：火柱,
0x80024768,５５：アランドラ吹き飛ぶ,
0x80024750,４７：ウイングバード,
0x80024740,４８：女神消滅,
0x80024730,４８：鏡割れる,
0x80024728,３７２,
0x80024718,４８：女神合成,
0x80024708,４８：像壊れる,
0x800246f4,４８：女神合成まえ,
0x800246e8,４９：熱風,
0x800246d4,４９：家がきしむ１,
0x800246cc,３７８,
0x800246c4,３７９,
0x800246bc,３８０,
0x800246b4,３８１,
0x8002469c,５１：意識の集合体１,
0x80024684,５１：意識の集合体２,
0x8002466c,５１：エルナート誕生,
0x80024658,５２：鉄格子開く,
0x80024648,５２：結界解除,
0x80024640,３８７,
0x80024628,５２：城門開ききった,
0x80024618,５２：鎖停止,
0x80024608,５２：鉄扉開く,
0x800245fc,５２：結界,
0x800245f4,３９２,
0x800245e0,５５：鉄扉上がる,
0x800245d8,３９４,
0x800245c8,５５：鎧殴る,
0x800245b8,５６：回転扉,
0x800245a8,５４：岩転がす,
0x800245a0,３９８,
0x80024588,５４：渦に巻き込まれる,
0x8002457c,アラーム,
0x80024570,紋章を置く,
0x80024564,００：鳥,
0x8002455c,４０３,
0x80024554,４０４,
0x8002453c,３６：水晶出現＆消滅,
0x8002452c,３６：石版光る,
0x8002451c,３６：石版出現,
0x80024508,３６：石版に乗った,
0x800244f4,メルザス：ダメージ,
0x800244e4,メルザス：消滅,
0x800244d4,メルザス：握り,
0x800244c4,メルザス：鼓動,
0x800244a8,メルザス：レーザー落ちた,
0x80024490,メルザス：目玉アタック,
0x80024478,メルザス：レーザー発射,
0x80024460,５４：岩同士ぶつかる,
0x8002444c,５４：岩水底につく,
0x80024438,５４：岩水に落ちる,
0x80024424,５４：岩陸に落ちる,
0x80024414,５４：機雷爆発,
0x80024408,５４：泡,
0x800243f8,５４：泡壊れる,
0x800243e4,６０：入り口閉まる,
0x800243d4,６０：宝うめる,
0x800243c0,６０：ランプ付く,
0x800243a8,６０：ランプ台落ちる,
0x80024390,６０：床がせりあがる,
0x80024388,４２８,
0x80024380,４２９,
0x80024378,４３０,
0x80024370,４３１,
0x80024368,４３２,
0x80024360,４３３,
0x80024358,４３４,
0x80024350,４３５,
0x80024348,４３６,
0x80024340,４３７,
0x80024338,４３８,
0x80024330,４３９,
0x80024328,４４０,
0x80024320,４４１,
0x80024318,４４２,
0x80024310,４４３,
0x80024308,４４４,
0x80024300,４４５,
0x800242f8,４４６,
0x800242f0,４４７,
0x800242e8,４４８,
0x800242e0,４４９,
0x800242d8,４５０,
0x800242d0,４５１,
0x800242c8,４５２,
0x800242c0,４５３,
0x800242b8,４５４,
0x800242b0,４５５,
0x800242a8,４５６,
0x800242a0,４５７,
0x80024298,４５８,
0x80024290,４５９,
0x80024288,４６０,
0x80024280,４６１,
0x80024278,４６２,
0x80024270,４６３,
0x80024268,４６４,
0x80024260,４６５,
0x80024258,４６６,
0x80024250,４６７,
0x80024248,４６８,
0x80024240,４６９,
0x80024238,４７０,
0x80024230,４７１,
0x80024228,４７２,
0x80024220,４７３,
0x80024218,４７４,
0x80024210,４７５,
0x80024208,４７６,
0x80024200,４７７,
0x800241f8,４７８,
